Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
1,41:04,,Yelena NIKOLAYEVA,1966-02-01,RUS,1,Sochi (RUS),1996-04-20,1228,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2464.0,RUS,30.0,1996
2,41:16,,Wang YAN,1971-05-02,CHN,1,Eisenhüttenstadt (GER),1999-05-08,1221,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2476.0,GER,28.0,1999
2,41:16,,Kjersti TYSSE-PLÄTZER,1972-01-18,NOR,,Os (NOR),2002-05-11,1221,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2476.0,NOR,30.0,2002
4,41:17,,Irina STANKINA,1977-03-25,RUS,1,"Adler, Sochi (RUS)",1997-02-09,1220,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2477.0,RUS,19.0,1997
5,41:24,,Olimpiada IVANOVA,1970-08-29,RUS,2,"Adler, Sochi (RUS)",1997-02-09,1216,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2484.0,RUS,26.0,1997
6,41:25,,Jiayu YANG,1996-02-18,CHN,1,Wuzhong (CHN),2020-12-15,1215,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2485.0,CHN,24.0,2020
7,41:28,,Antonella PALMISANO,1991-08-06,ITA,1,Modena (ITA),2020-10-18,1213,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2488.0,ITA,29.0,2020
8,41:29,,Larisa RAMAZANOVA-KHMELNITSKAYA,1971-09-23,BLR,1,Izhevsk (RUS),1995-06-04,1213,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2489.0,RUS,23.0,1995
9,41:30,,Kerry SAXBY,1961-06-02,AUS,1,Canberra (AUS),1988-08-27,1212,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2490.0,AUS,27.0,1988
9,41:30,,Ileana SALVADOR,1962-01-16,ITA,1,Livorno (ITA),1993-07-10,1212,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2490.0,ITA,31.0,1993
9,41:30,,Olimpiada IVANOVA,1970-08-29,RUS,2,Izhevsk (RUS),1995-06-04,1212,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2490.0,RUS,24.0,1995
12,41:31,,Yelena GRUZINOVA,,RUS,2,Sochi (RUS),1996-04-20,1211,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2491.0,RUS,,1996
13,41:38,,Rossella GIORDANO,1972-12-01,ITA,1,Naumburg (GER),1997-05-25,1207,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2498.0,GER,24.0,1997
14,41:41,,Yelena NIKOLAYEVA,1966-02-01,RUS,2,Naumburg (GER),1997-05-25,1205,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2501.0,GER,31.0,1997
14,41:41,,Kjersti TYSSE-PLÄTZER,1972-01-18,NOR,1,Kraków (POL),2009-05-30,1205,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2501.0,POL,37.0,2009
16,41:42,,Olga KANISKINA,1985-01-19,RUS,2,Kraków (POL),2009-05-30,1205,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2502.0,POL,24.0,2009
17,41:45,,Hongyu LIU,1975-01-11,CHN,2,Eisenhüttenstadt (GER),1999-05-08,1203,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2505.0,GER,24.0,1999
18,41:46,,Annarita SIDOTI,1969-07-25,ITA,1,Livorno (ITA),1994-06-12,1202,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2506.0,ITA,24.0,1994
19,41:47,,Kerry SAXBY-JUNNA,1961-06-02,AUS,1,Eisenhüttenstadt (GER),1996-05-11,1201,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2507.0,GER,34.0,1996
20,41:48,,Chunxiu LI,1969-08-13,CHN,1,Beijing (CHN),1993-09-08,1201,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2508.0,CHN,24.0,1993
21,41:49,,Yelena NIKOLAYEVA,1966-02-01,RUS,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-29,1200,10-kilometres-race-walk,race-walks,female,senior,10-kilometres-race-walk,track,2509.0,USA,30.0,1996
