rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,1:27.05,,Team International,,INT,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",2024-03-30,1241,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,87.05,USA,,2024
2,1:27.46,,United States Blue,,USA,1,"Philadelphia, PA (USA)",2000-04-29,1233,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,87.46000000000001,USA,,2000
3,1:28.05,,Texas,,INT,1f3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1221,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,88.05,USA,,2023
4,1:28.15,,German Democratic Republic,,GDR,1,Jena (GDR),1980-08-09,1219,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,88.15,GDR,,1980
5,1:28.77,,Tumbleweed Track Club,,INT,1f1,"Gainesville, FL (USA)",2017-04-01,1207,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,88.77,USA,,2017
5,1:28.77,,Pure Athletics,,INT,1,"Gainesville, FL (USA)",2018-03-31,1207,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,88.77,USA,,2018
7,1:28.78,,Oregon,,USA,2f1,"Gainesville, FL (USA)",2017-04-01,1207,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,88.78,USA,,2017
8,1:29.03,,Texas,,INT,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",2022-03-26,1202,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.03,USA,,2022
9,1:29.04,,Jamaica,,JAM,1,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1201,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.03999999999999,BAH,,2017
10,1:29.24,,NIKE,,USA,1,"Philadelphia, PA (USA)",1998-04-25,1198,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.24,USA,,1998
11,1:29.25,,Pure Athletics,,INT,1f1,"Gainesville, FL (USA)",2019-03-30,1197,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.25,USA,,2019
12,1:29.42,,Texas A&M,,USA,1,"Philadelphia, PA (USA)",2010-04-24,1194,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.42,USA,,2010
13,1:29.45,,United States,,USA,1,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1193,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.45,BAH,,2014
14,1:29.61,,Great Britain & NI,,GBR,2,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1190,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.61,BAH,,2014
15,1:29.71,,Pure Athletics,,INT,3f1,"Gainesville, FL (USA)",2017-04-01,1188,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.71000000000001,USA,,2017
16,1:29.78,,Louisiana State,,INT,1,"Philadelphia, PA (USA)",2003-04-26,1187,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.78,USA,,2003
17,1:29.86,,Empire Athletics,,USA,4f1,"Gainesville, FL (USA)",2017-04-01,1185,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.86,USA,,2017
18,1:29.89,,Texas A&M,,INT,1f2,"Austin, TX (USA)",2017-04-01,1185,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.89,USA,,2017
19,1:29.96,,Texas A&M,,USA,1,"Philadelphia, PA (USA)",2011-04-30,1184,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.96000000000001,USA,,2011
20,1:29.98,,Texas A&M,,USA,1f1,"Philadelphia, PA (USA)",2013-04-27,1183,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,89.98,USA,,2013
21,1:30.01,,United States Blue,,USA,1,"Philadelphia, PA (USA)",2004-04-24,1183,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.01,USA,,2004
21,1:30.01,,Louisiana State,,INT,1f2,"Austin, TX (USA)",2012-03-31,1183,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.01,USA,,2012
23,1:30.04,,Jamaica,,JAM,3,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1182,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.03999999999999,BAH,,2014
24,1:30.07,,Louisiana State,,INT,1,"Austin, TX (USA)",2003-04-05,1181,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.07,USA,,2003
25,1:30.21,,Texas A&M,,USA,1f1,"Philadelphia, PA (USA)",2014-04-26,1179,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.21000000000001,USA,,2014
26,1:30.23,,NIKE,,INT,1f1,"Philadelphia, PA (USA)",1999-04-24,1178,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.23,USA,,1999
26,1:30.23,,Jamaica,,JAM,1,"Philadelphia, PA (USA)",2001-04-28,1178,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.23,USA,,2001
28,1:30.26,,University of Texas,,USA,2f1,"Philadelphia, PA (USA)",2014-04-26,1178,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,90.26,USA,,2014
