rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,7:52.11,,Lamecha GIRMA,2000-11-26,ETH,1,"Stade Charléty, Paris (FRA)",2023-06-09,1295,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,472.11,FRA,22.0,2023
2,7:53.63,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Boudewijnstadion, Bruxelles (BEL)",2004-09-03,1288,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,473.63,BEL,21.0,2004
3,7:53.64,,Brimin Kiprop KIPRUTO,1985-07-31,KEN,1,"Stade Louis II, Monaco (MON)",2011-07-22,1288,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,473.64,MON,25.0,2011
4,7:54.31,,Paul Kipsiele KOECH,1981-11-10,KEN,1,"Stadio Olimpico, Roma (ITA)",2012-05-31,1285,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,474.31,ITA,30.0,2012
5,7:55.28,,Brahim BOULAMI,1972-04-20,MAR,1,Bruxelles (BEL),2001-08-24,1280,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,475.28,BEL,29.0,2001
6,7:55.51,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Boudewijnstadion, Bruxelles (BEL)",2005-08-26,1279,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,475.51,BEL,22.0,2005
7,7:55.72,,Bernard BARMASAI,1974-05-06,KEN,1,Köln (GER),1997-08-24,1278,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,475.72,GER,23.0,1997
8,7:55.76,,Ezekiel KEMBOI,1982-05-25,KEN,2,"Stade Louis II, Monaco (MON)",2011-07-22,1278,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,475.76,MON,29.0,2011
9,7:56.16,,Moses KIPTANUI,1970-10-01,KEN,2,Köln (GER),1997-08-24,1276,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.15999999999997,GER,26.0,1997
10,7:56.32,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Olympic Stadium, Athina (GRE)",2006-07-03,1275,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.32,GRE,23.0,2006
11,7:56.34,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Stadio Olimpico, Roma (ITA)",2005-07-08,1275,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.34000000000003,ITA,22.0,2005
12,7:56.37,,Paul Kipsiele KOECH,1981-11-10,KEN,2,"Stadio Olimpico, Roma (ITA)",2005-07-08,1275,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.37,ITA,23.0,2005
13,7:56.54,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,Zürich (SUI),2006-08-18,1274,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.54,SUI,23.0,2006
14,7:56.58,,Paul Kipsiele KOECH,1981-11-10,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2012-05-11,1274,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.58,QAT,30.0,2012
15,7:56.68,,Soufiane EL BAKKALI,1996-01-07,MAR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2023-05-28,1274,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.68,MAR,27.0,2023
16,7:56.81,,Richard Kipkemboi MATEELONG,1983-10-14,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2012-05-11,1273,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.81,QAT,28.0,2012
17,7:56.94,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Stade Louis II, Monaco (MON)",2004-09-19,1272,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,476.94,MON,21.0,2004
18,7:57.28,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Olympic Stadium, Athina (GRE)",2005-06-14,1271,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,477.28,GRE,22.0,2005
19,7:57.29,,Reuben KOSGEI,1979-08-12,KEN,2,Bruxelles (BEL),2001-08-24,1271,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,477.29,BEL,22.0,2001
20,7:57.32,,Paul Kipsiele KOECH,1981-11-10,KEN,3,"Stade Louis II, Monaco (MON)",2011-07-22,1271,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,477.32,MON,29.0,2011
21,7:57.38,,Saif Saaeed SHAHEEN,1982-10-15,QAT,1,"Stade Louis II, Monaco (MON)",2003-09-14,1270,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,477.38,MON,20.0,2003
22,7:57.42,,Paul Kipsiele KOECH,1981-11-10,KEN,2,"Stade Louis II, Monaco (MON)",2003-09-14,1270,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,477.42,MON,21.0,2003
23,7:58.09,,Brahim BOULAMI,1972-04-20,MAR,1,"Stade Louis II, Monaco (MON)",2002-07-19,1267,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.09000000000003,MON,30.0,2002
24,7:58.10,,Stephen CHERONO,1982-10-15,KEN,2,"Stade Louis II, Monaco (MON)",2002-07-19,1267,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.1,MON,19.0,2002
25,7:58.15,,Soufiane EL BAKKALI,1996-01-07,MAR,1,"Stade Louis II, Monaco (MON)",2018-07-20,1267,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.15,MON,22.0,2018
26,7:58.28,,Soufiane EL BAKKALI,1996-01-07,MAR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2022-06-05,1266,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.28,MAR,26.0,2022
27,7:58.41,,Jairus Kipchoge BIRECH,1992-12-14,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1265,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.40999999999997,BEL,21.0,2014
28,7:58.50,,Brahim BOULAMI,1972-04-20,MAR,1,"Letzigrund, Zürich (SUI)",2001-08-17,1265,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.5,SUI,29.0,2001
1,7:58.66,,Stephen CHERONO,1982-10-15,KEN,3,Bruxelles (BEL),2001-08-24,1264,3000-metres-steeplechase,middlelong,male,u20,3000-metres-steeplechase,track,478.65999999999997,BEL,18.0,2001
29,7:58.66,,Stephen CHERONO,1982-10-15,KEN,3,Bruxelles (BEL),2001-08-24,1264,3000-metres-steeplechase,middlelong,male,senior,3000-metres-steeplechase,track,478.65999999999997,BEL,18.0,2001
