rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,12:35.36,,Joshua CHEPTEGEI,1996-09-12,UGA,1,"Stade Louis II, Monaco (MON)",2020-08-14,1302,5000-metres,middlelong,male,senior,5000-metres,track,755.36,MON,23.0,2020
2,12:36.73,,Hagos GEBRHIWET,1994-05-11,ETH,1,"Bislett Stadion, Oslo (NOR)",2024-05-30,1296,5000-metres,middlelong,male,senior,5000-metres,track,756.73,NOR,30.0,2024
3,12:37.35,,Kenenisa BEKELE,1982-06-13,ETH,1,"FBK Stadium, Hengelo (NED)",2004-05-31,1294,5000-metres,middlelong,male,senior,5000-metres,track,757.35,NED,21.0,2004
4,12:38.95,,Yomif KEJELCHA,1997-08-01,ETH,2,"Bislett Stadion, Oslo (NOR)",2024-05-30,1288,5000-metres,middlelong,male,senior,5000-metres,track,758.95,NOR,26.0,2024
5,12:39.36,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Helsinki (FIN),1998-06-13,1286,5000-metres,middlelong,male,senior,5000-metres,track,759.36,FIN,25.0,1998
6,12:39.74,,Daniel KOMEN,1976-05-17,KEN,1,Bruxelles (BEL),1997-08-22,1285,5000-metres,middlelong,male,senior,5000-metres,track,759.74,BEL,21.0,1997
7,12:40.18,,Kenenisa BEKELE,1982-06-13,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2005-07-01,1283,5000-metres,middlelong,male,senior,5000-metres,track,760.18,FRA,23.0,2005
8,12:40.45,,Berihu AREGAWI,2001-02-28,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1282,5000-metres,middlelong,male,senior,5000-metres,track,760.45,SUI,22.0,2023
9,12:40.96,,Jacob KIPLIMO,2000-11-14,UGA,3,"Bislett Stadion, Oslo (NOR)",2024-05-30,1280,5000-metres,middlelong,male,senior,5000-metres,track,760.96,NOR,23.0,2024
10,12:41.61,,Joshua CHEPTEGEI,1996-09-12,UGA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1278,5000-metres,middlelong,male,senior,5000-metres,track,761.61,SUI,26.0,2023
11,12:41.73,,Yomif KEJELCHA,1997-08-01,ETH,1,"Bislett Stadion, Oslo (NOR)",2023-06-15,1278,5000-metres,middlelong,male,senior,5000-metres,track,761.73,NOR,25.0,2023
11,12:41.73,,Jacob KIPLIMO,2000-11-14,UGA,2,"Bislett Stadion, Oslo (NOR)",2023-06-15,1278,5000-metres,middlelong,male,senior,5000-metres,track,761.73,NOR,22.0,2023
13,12:41.86,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Zürich (SUI),1997-08-13,1277,5000-metres,middlelong,male,senior,5000-metres,track,761.86,SUI,24.0,1997
14,12:42.18,,Hagos GEBRHIWET,1994-05-11,ETH,1,"Stade Louis II, Monaco (MON)",2023-07-21,1276,5000-metres,middlelong,male,senior,5000-metres,track,762.18,MON,29.0,2023
15,12:42.58,,Berihu AREGAWI,2001-02-28,ETH,2,"Stade Louis II, Monaco (MON)",2023-07-21,1274,5000-metres,middlelong,male,senior,5000-metres,track,762.58,MON,22.0,2023
16,12:42.70,,Telahun Haile BEKELE,1999-05-13,ETH,3,"Stade Louis II, Monaco (MON)",2023-07-21,1274,5000-metres,middlelong,male,senior,5000-metres,track,762.7,MON,24.0,2023
1,12:43.02,,Selemon BAREGA,2000-01-20,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1273,5000-metres,middlelong,male,u20,5000-metres,track,763.02,BEL,18.0,2018
17,12:43.02,,Selemon BAREGA,2000-01-20,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1273,5000-metres,middlelong,male,senior,5000-metres,track,763.02,BEL,18.0,2018
18,12:43.66,,Berihu AREGAWI,2001-02-28,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1270,5000-metres,middlelong,male,senior,5000-metres,track,763.66,BEL,23.0,2024
19,12:44.09,,Grant FISHER,1997-04-22,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2025-02-14,1324,5000-metres,middlelong,male,senior,5000-metres,track,764.09,USA,27.0,2025
20,12:44.25,,Hagos GEBRHIWET,1994-05-11,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1268,5000-metres,middlelong,male,senior,5000-metres,track,764.25,BEL,30.0,2024
21,12:44.27,,Andreas ALMGREN,1995-06-12,SWE,1,"Olympiastadion, Stockholm (SWE)",2025-06-15,1268,5000-metres,middlelong,male,senior,5000-metres,track,764.27,SWE,30.0,2025
22,12:44.39,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Zürich (SUI),1995-08-16,1268,5000-metres,middlelong,male,senior,5000-metres,track,764.39,SUI,22.0,1995
23,12:44.90,,Daniel KOMEN,1976-05-17,KEN,2,Zürich (SUI),1997-08-13,1266,5000-metres,middlelong,male,senior,5000-metres,track,764.9,SUI,21.0,1997
24,12:45.01,,Mohamed KATIR,1998-02-17,ESP,4,"Stade Louis II, Monaco (MON)",2023-07-21,1265,5000-metres,middlelong,male,senior,5000-metres,track,765.01,MON,25.0,2023
25,12:45.09,,Daniel KOMEN,1976-05-17,KEN,1,Zürich (SUI),1996-08-14,1265,5000-metres,middlelong,male,senior,5000-metres,track,765.09,SUI,20.0,1996
26,12:45.27,,Nico YOUNG,2002-07-27,USA,1,"Bislett Stadion, Oslo (NOR)",2025-06-12,1264,5000-metres,middlelong,male,senior,5000-metres,track,765.27,NOR,22.0,2025
27,12:45.63,,Telahun Haile BEKELE,1999-05-13,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",2024-09-13,1263,5000-metres,middlelong,male,senior,5000-metres,track,765.63,BEL,25.0,2024
28,12:45.71,,Jacob KROP,2001-06-04,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",2022-09-02,1263,5000-metres,middlelong,male,senior,5000-metres,track,765.71,BEL,21.0,2022
29,12:45.82,,Hagos GEBRHIWET,1994-05-11,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,1262,5000-metres,middlelong,male,senior,5000-metres,track,765.82,BEL,24.0,2018
