rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,55:21,,Zersenay TADESE,1982-01-01,ERI,,Lisboa (POR),2010-03-21,1241,20-kilometres,road-running,male,senior,20-kilometres,track,3321.0,POR,28.0,2010
2,55:48,,Haile GEBRSELASSIE,1973-04-18,ETH,,"Tempe, AZ (USA)",2006-01-15,1221,20-kilometres,road-running,male,senior,20-kilometres,track,3348.0,USA,32.0,2006
3,56:01,,Zersenay TADESE,1982-01-01,ERI,1.0,Debrecen (HUN),2006-10-08,1211,20-kilometres,road-running,male,senior,20-kilometres,track,3361.0,HUN,24.0,2006
4,56:18,,Paul TERGAT,1969-06-17,KEN,,Milano (ITA),1998-04-04,1199,20-kilometres,road-running,male,senior,20-kilometres,track,3378.0,ITA,28.0,1998
5,56:41,,Robert Kipkorir KIPCHUMBA,1984-02-24,KEN,2.0,Debrecen (HUN),2006-10-08,1182,20-kilometres,road-running,male,senior,20-kilometres,track,3401.0,HUN,22.0,2006
6,56:52,,Eshetu WENDIMU,1986-10-03,ETH,1.0,Alphen aan den Rijn (NED),2007-03-11,1175,20-kilometres,road-running,male,senior,20-kilometres,track,3412.0,NED,20.0,2007
7,57:01,,Mekubo MOGUSU,1986-12-25,KEN,1.0,Tachikawa (JPN),2007-10-20,1168,20-kilometres,road-running,male,senior,20-kilometres,track,3421.0,JPN,20.0,2007
8,57:15,,Wilson Kiprotich KEBENEI,1980-07-20,KEN,3.0,Debrecen (HUN),2006-10-08,1158,20-kilometres,road-running,male,senior,20-kilometres,track,3435.0,HUN,26.0,2006
8,57:15,,Dennis Musembi NDISO,1983-12-31,KEN,1.0,Alphen aan den Rijn (NED),2008-03-09,1158,20-kilometres,road-running,male,senior,20-kilometres,track,3435.0,NED,24.0,2008
10,57:19,,Evans Kiprop CHERUIYOT,1982-05-10,KEN,1.0,Paris (FRA),2005-10-16,1155,20-kilometres,road-running,male,senior,20-kilometres,track,3439.0,FRA,23.0,2005
11,57:20,,Patrick Mutuku IVUTI,1978-07-30,KEN,2.0,Alphen aan den Rijn (NED),2008-03-09,1155,20-kilometres,road-running,male,senior,20-kilometres,track,3440.0,NED,29.0,2008
12,57:21,,Wilson Kipkemei BUSIENEI,1981-08-18,UGA,4.0,Debrecen (HUN),2006-10-08,1154,20-kilometres,road-running,male,senior,20-kilometres,track,3441.0,HUN,25.0,2006
13,57:22,,Wifred Kipkoech TARAGON,1985-06-09,KEN,5.0,Debrecen (HUN),2006-10-08,1153,20-kilometres,road-running,male,senior,20-kilometres,track,3442.0,HUN,21.0,2006
13,57:22,,Mekubo MOGUSU,1986-12-25,KEN,1.0,Tachikawa (JPN),2005-10-22,1153,20-kilometres,road-running,male,senior,20-kilometres,track,3442.0,JPN,18.0,2005
15,57:27,,Deriba Merga EJIGU,1980-10-26,ETH,6.0,Debrecen (HUN),2006-10-08,1150,20-kilometres,road-running,male,senior,20-kilometres,track,3447.0,HUN,25.0,2006
15,57:27,,Tadesse TOLA,1987-10-31,ETH,7.0,Debrecen (HUN),2006-10-08,1150,20-kilometres,road-running,male,senior,20-kilometres,track,3447.0,HUN,18.0,2006
15,57:27,,Josphat Ledama KISAISA,1998-06-25,KEN,1.0,Tachikawa (JPN),2017-10-14,1150,20-kilometres,road-running,male,senior,20-kilometres,track,3447.0,JPN,19.0,2017
18,57:31,,Ben Kimutai KIMWOLE,,KEN,2.0,Paris (FRA),2005-10-16,1147,20-kilometres,road-running,male,senior,20-kilometres,track,3451.0,FRA,,2005
19,57:32,,Elvis TABARACH,1997-06-20,KEN,1.0,Paris (FRA),2023-10-08,1146,20-kilometres,road-running,male,senior,20-kilometres,track,3452.0,FRA,26.0,2023
20,57:33,,Mubarak Hassan SHAMI,1980-12-02,QAT,8.0,Debrecen (HUN),2006-10-08,1146,20-kilometres,road-running,male,senior,20-kilometres,track,3453.0,HUN,25.0,2006
20,57:33,,Emmanuel MUTAI,1984-10-12,KEN,3.0,Alphen aan den Rijn (NED),2008-03-09,1146,20-kilometres,road-running,male,senior,20-kilometres,track,3453.0,NED,23.0,2008
20,57:33,,Dominic Nyairo OMARE,1997-03-11,KEN,2.0,Tachikawa (JPN),2017-10-14,1146,20-kilometres,road-running,male,senior,20-kilometres,track,3453.0,JPN,20.0,2017
23,57:34,,Evans Kiprop CHERUIYOT,1982-05-10,KEN,2.0,Alphen aan den Rijn (NED),2007-03-11,1145,20-kilometres,road-running,male,senior,20-kilometres,track,3454.0,NED,24.0,2007
24,57:36,,Hassan CHAHDI,1989-05-07,FRA,2.0,Paris (FRA),2023-10-08,1143,20-kilometres,road-running,male,senior,20-kilometres,track,3456.0,FRA,34.0,2023
25,57:37,,James Kabogor YATICH,1984-10-22,KEN,3.0,Alphen aan den Rijn (NED),2007-03-11,1143,20-kilometres,road-running,male,senior,20-kilometres,track,3457.0,NED,22.0,2007
25,57:37,,Khalid KHANNOUCHI,1971-12-22,MAR,1.0,"New Haven, CT (USA)",1998-09-07,1143,20-kilometres,road-running,male,senior,20-kilometres,track,3457.0,USA,26.0,1998
27,57:38,,Robert Kiprotich CHERUIYOT,1974-12-20,KEN,1.0,Paris (FRA),2002-10-13,1142,20-kilometres,road-running,male,senior,20-kilometres,track,3458.0,FRA,27.0,2002
28,57:40,,Tessema ABSHERO,1986-12-09,ETH,4.0,Alphen aan den Rijn (NED),2008-03-09,1141,20-kilometres,road-running,male,senior,20-kilometres,track,3460.0,NED,21.0,2008
29,57:41,,Sondre Nordstad MOEN,1991-01-12,NOR,3.0,Paris (FRA),2023-10-08,1140,20-kilometres,road-running,male,senior,20-kilometres,track,3461.0,FRA,32.0,2023
30,57:42,,Girma TOLA,1974-10-19,ETH,3.0,Paris (FRA),2005-10-16,1139,20-kilometres,road-running,male,senior,20-kilometres,track,3462.0,FRA,31.0,2005
30,57:42,,Dieudonné DISI,1980-04-24,RWA,9.0,Debrecen (HUN),2006-10-08,1139,20-kilometres,road-running,male,senior,20-kilometres,track,3462.0,HUN,26.0,2006
30,57:42,,Sammy KITWARA,1986-11-26,KEN,1.0,Paris (FRA),2008-10-12,1139,20-kilometres,road-running,male,senior,20-kilometres,track,3462.0,FRA,21.0,2008
33,57:43,,James Kibocha THEURI,1978-11-30,FRA,4.0,Paris (FRA),2005-10-16,1138,20-kilometres,road-running,male,senior,20-kilometres,track,3463.0,FRA,26.0,2005
34,57:44,,Elliah MBOGO,,KEN,5.0,Alphen aan den Rijn (NED),2008-03-09,1138,20-kilometres,road-running,male,senior,20-kilometres,track,3464.0,NED,,2008
35,57:45,,Morhad AMDOUNI,1988-06-21,FRA,4.0,Paris (FRA),2023-10-08,1137,20-kilometres,road-running,male,senior,20-kilometres,track,3465.0,FRA,35.0,2023
36,57:46,,Hendrick RAMAALA,1972-02-02,RSA,1.0,Paris (FRA),1998-10-18,1136,20-kilometres,road-running,male,senior,20-kilometres,track,3466.0,FRA,26.0,1998
37,57:47,,Benjamin NGANDU,1990-03-21,KEN,1.0,Tachikawa (JPN),2012-10-20,1136,20-kilometres,road-running,male,senior,20-kilometres,track,3467.0,JPN,22.0,2012
37,57:47,,John KALES,,KEN,6.0,Alphen aan den Rijn (NED),2008-03-09,1136,20-kilometres,road-running,male,senior,20-kilometres,track,3467.0,NED,,2008
37,57:47,,Lahoussine MRIKIK,1972-06-07,MAR,2.0,Paris (FRA),1998-10-18,1136,20-kilometres,road-running,male,senior,20-kilometres,track,3467.0,FRA,26.0,1998
40,57:48,,David Kiprono LANGAT,,KEN,5.0,Paris (FRA),2005-10-16,1135,20-kilometres,road-running,male,senior,20-kilometres,track,3468.0,FRA,,2005
41,57:49,,Toshihiko SEKO,1956-07-15,JPN,1.0,Fuchu (JPN),1980-11-23,1134,20-kilometres,road-running,male,senior,20-kilometres,track,3469.0,JPN,24.0,1980
