rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,49:53,,Taylor ROE,2000-10-13,USA,1.0,"Washington, DC (USA)",2025-04-06,1209.0,10-miles-road,road-running,female,senior,10-miles-road,track,2993.0,USA,24.0,2025
2,50:32,,Evaline CHIRCHIR,1998-02-02,KEN,1.0,Amsterdam (NED),2019-09-22,1190.0,10-miles-road,road-running,female,senior,10-miles-road,track,3032.0,NED,21.0,2019
3,50:35,,Irine Chepet CHEPTAI,1992-02-04,KEN,2.0,Amsterdam (NED),2019-09-22,1189.0,10-miles-road,road-running,female,senior,10-miles-road,track,3035.0,NED,27.0,2019
4,50:39,,Linet Chepkwemoi MASAI,1989-12-05,KEN,1.0,Amsterdam (NED),2009-09-20,1187.0,10-miles-road,road-running,female,senior,10-miles-road,track,3039.0,NED,19.0,2009
5,50:42,,Margaret Chelimo KIPKEMBOI,1993-02-09,KEN,1.0,Amsterdam (NED),2022-09-17,1185.0,10-miles-road,road-running,female,senior,10-miles-road,track,3042.0,NED,29.0,2022
6,50:43,,Eilish MCCOLGAN,1990-11-25,GBR,1.0,Portsmouth (GBR),2021-10-17,1185.0,10-miles-road,road-running,female,senior,10-miles-road,track,3043.0,GBR,30.0,2021
7,50:45,,Lonah Chemtai SALPETER,1988-12-12,ISR,1.0,Amsterdam (NED),2018-09-23,1184.0,10-miles-road,road-running,female,senior,10-miles-road,track,3045.0,NED,29.0,2018
7,50:45,,Sharon KEMBOI,,KEN,2.0,Amsterdam (NED),2022-09-17,1184.0,10-miles-road,road-running,female,senior,10-miles-road,track,3045.0,NED,,2022
9,50:46,,Dibabe KUMA,1996-09-14,ETH,2.0,Amsterdam (NED),2018-09-23,1183.0,10-miles-road,road-running,female,senior,10-miles-road,track,3046.0,NED,22.0,2018
10,50:48,,Selamawit TEFERI,1994-03-24,ISR,3.0,Amsterdam (NED),2019-09-22,1182.0,10-miles-road,road-running,female,senior,10-miles-road,track,3048.0,NED,25.0,2019
11,50:49,,Caroline NYAGA,1993-10-07,KEN,3.0,Amsterdam (NED),2022-09-17,1182.0,10-miles-road,road-running,female,senior,10-miles-road,track,3049.0,NED,28.0,2022
12,51:00,,Sonia O'SULLIVAN,1969-11-28,IRL,1.0,Portsmouth (GBR),2002-09-08,1176.0,10-miles-road,road-running,female,senior,10-miles-road,track,3060.0,GBR,32.0,2002
12,51:00,,Adane ANMAW,2003-10-21,ETH,,"Washington, DC (USA)",2025-04-06,1176.0,10-miles-road,road-running,female,senior,10-miles-road,track,3060.0,USA,21.0,2025
14,51:04,,Emma Grace HURLEY,1997-12-19,USA,2.0,"Washington, DC (USA)",2025-04-06,1175.0,10-miles-road,road-running,female,senior,10-miles-road,track,3064.0,USA,27.0,2025
15,51:11,,Paula RADCLIFFE,1973-12-17,GBR,1.0,Portsmouth (GBR),2008-10-26,1171.0,10-miles-road,road-running,female,senior,10-miles-road,track,3071.0,GBR,34.0,2008
16,51:14,,Sarah CHELANGAT,2001-06-05,UGA,1.0,"Washington, DC (USA)",2024-04-07,1170.0,10-miles-road,road-running,female,senior,10-miles-road,track,3074.0,USA,22.0,2024
17,51:16,,Colleen DE REUCK,1964-04-13,RSA,1.0,"Washington, DC (USA)",1998-04-05,1169.0,10-miles-road,road-running,female,senior,10-miles-road,track,3076.0,USA,34.0,1998
18,51:17,,Vivian Jepkemei CHERUIYOT,1983-09-11,KEN,1.0,Portsmouth (GBR),2015-10-25,1168.0,10-miles-road,road-running,female,senior,10-miles-road,track,3077.0,GBR,32.0,2015
19,51:18,,Asayech AYICHEW,2005-04-03,ETH,1.0,Amsterdam (NED),2024-09-22,1168.0,10-miles-road,road-running,female,senior,10-miles-road,track,3078.0,NED,19.0,2024
20,51:23,,Keira D'AMATO,1984-10-21,USA,1.0,"Washington, DC (USA)",2020-11-24,1165.0,10-miles-road,road-running,female,senior,10-miles-road,track,3083.0,USA,36.0,2020
20,51:23,,Susan CHEPKEMEI,1975-06-25,KEN,1.0,Amsterdam (NED),2001-09-23,1165.0,10-miles-road,road-running,female,senior,10-miles-road,track,3083.0,NED,26.0,2001
22,51:26,,Peninah ARUSEI,1979-02-23,KEN,3.0,Amsterdam (NED),2009-09-20,1164.0,10-miles-road,road-running,female,senior,10-miles-road,track,3086.0,NED,30.0,2009
22,51:26,,Emily DURGIN,1994-05-15,USA,2.0,"Washington, DC (USA)",2024-04-07,1164.0,10-miles-road,road-running,female,senior,10-miles-road,track,3086.0,USA,29.0,2024
24,51:27,,Derartu TULU,1972-03-21,ETH,1.0,Portsmouth (GBR),2005-10-09,1163.0,10-miles-road,road-running,female,senior,10-miles-road,track,3087.0,GBR,33.0,2005
25,51:30,,Susan KRUMINS,1986-07-08,NED,3.0,Amsterdam (NED),2018-09-23,1162.0,10-miles-road,road-running,female,senior,10-miles-road,track,3090.0,NED,32.0,2018
26,51:35,,Vicoty CHEPNGENO,1993-11-12,KEN,1.0,"Flint, MI (USA)",2019-08-24,1160.0,10-miles-road,road-running,female,senior,10-miles-road,track,3095.0,USA,25.0,2019
27,51:36,,Gladys CHEPKURUI,1994-08-17,KEN,2.0,Amsterdam (NED),2024-09-22,1159.0,10-miles-road,road-running,female,senior,10-miles-road,track,3096.0,NED,30.0,2024
28,51:38,,Kasanesh BAZE,1999-10-23,ETH,3.0,"Washington, DC (USA)",2024-04-07,1158.0,10-miles-road,road-running,female,senior,10-miles-road,track,3098.0,USA,24.0,2024
28,51:38,,Buze DIRIBA,1994-02-09,ETH,1.0,"Pittsburgh, PA (USA)",2016-11-06,1158.0,10-miles-road,road-running,female,senior,10-miles-road,track,3098.0,USA,22.0,2016
28,51:38,,Eilish MCCOLGAN,1990-11-25,GBR,1.0,Portsmouth (GBR),2019-10-20,1158.0,10-miles-road,road-running,female,senior,10-miles-road,track,3098.0,GBR,28.0,2019
31,51:40,,Rachel SMITH,1991-07-18,USA,4.0,"Washington, DC (USA)",2024-04-07,1157.0,10-miles-road,road-running,female,senior,10-miles-road,track,3100.0,USA,32.0,2024
31,51:40,,Rose CHERUIYOT,1976-07-21,KEN,1.0,"Washington, DC (USA)",1995-04-09,1157.0,10-miles-road,road-running,female,senior,10-miles-road,track,3100.0,USA,18.0,1995
31,51:40,,Belaynesh FIKADU,1987-03-28,ETH,4.0,Amsterdam (NED),2009-09-20,1157.0,10-miles-road,road-running,female,senior,10-miles-road,track,3100.0,NED,22.0,2009
34,51:41,,Jill BOLTZ,1966-10-14,GBR,1.0,"New York, NY (USA)",1991-04-20,1157.0,10-miles-road,road-running,female,senior,10-miles-road,track,3101.0,USA,24.0,1991
35,51:42,,Fiona O'KEEFFE,1998-05-24,USA,1.0,"Minneapolis, MN (USA)",2022-10-02,1156.0,10-miles-road,road-running,female,senior,10-miles-road,track,3102.0,USA,24.0,2022
36,51:43,,Iveen CHEPKEMOI,1997-08-20,KEN,2.0,"Flint, MI (USA)",2019-08-24,1156.0,10-miles-road,road-running,female,senior,10-miles-road,track,3103.0,USA,22.0,2019
37,51:44,,Molly HUDDLE,1984-08-31,USA,1.0,St. Paul (USA),2015-10-04,1155.0,10-miles-road,road-running,female,senior,10-miles-road,track,3104.0,USA,31.0,2015
37,51:44,,Teyba ERKESSO,1982-10-30,ETH,1.0,"Washington, DC (USA)",2007-04-01,1155.0,10-miles-road,road-running,female,senior,10-miles-road,track,3104.0,USA,24.0,2007
39,51:46,,Isabella OCHICHI,1979-10-28,KEN,2.0,Amsterdam (NED),2001-09-23,1154.0,10-miles-road,road-running,female,senior,10-miles-road,track,3106.0,NED,21.0,2001
40,51:47,,Cathy O'BRIEN,1967-07-19,USA,1.0,"Flint, MI (USA)",1989-08-26,1154.0,10-miles-road,road-running,female,senior,10-miles-road,track,3107.0,USA,22.0,1989
41,51:49,,Buze DIRIBA,1994-02-09,ETH,1.0,"Flint, MI (USA)",2017-08-26,1153.0,10-miles-road,road-running,female,senior,10-miles-road,track,3109.0,USA,23.0,2017
41,51:49,,Fiona O'KEEFFE,1998-05-24,USA,3.0,"Washington, DC (USA)",2025-04-06,1153.0,10-miles-road,road-running,female,senior,10-miles-road,track,3109.0,USA,26.0,2025
