rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,40:42,,Jacob KIPLIMO,2000-11-14,UGA,1.0,Nijmegen (NED),2024-11-17,1272.0,15-kilometres,road-running,male,senior,15-kilometres,track,2442.0,NED,24.0,2024
2,41:05,,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2018-11-18,1248.0,15-kilometres,road-running,male,senior,15-kilometres,track,2465.0,NED,22.0,2018
2,41:05,,Jacob KIPLIMO,2000-11-14,UGA,1.0,Nijmegen (NED),2023-11-19,1248.0,15-kilometres,road-running,male,senior,15-kilometres,track,2465.0,NED,23.0,2023
4,41:13,,Leonard Patrick KOMON,1988-01-10,KEN,1.0,Nijmegen (NED),2010-11-21,1240.0,15-kilometres,road-running,male,senior,15-kilometres,track,2473.0,NED,22.0,2010
5,41:16,,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2017-11-19,1237.0,15-kilometres,road-running,male,senior,15-kilometres,track,2476.0,NED,21.0,2017
6,41:29,,Felix LIMO,1980-08-22,KEN,1.0,Nijmegen (NED),2001-11-11,1223.0,15-kilometres,road-running,male,senior,15-kilometres,track,2489.0,NED,21.0,2001
6,41:29,,Deriba Merga EJIGU,1980-10-26,ETH,,Ras Al Khaimah (UAE),2009-02-20,1223.0,15-kilometres,road-running,male,senior,15-kilometres,track,2489.0,UAE,28.0,2009
8,41:38,,Haile GEBRSELASSIE,1973-04-18,ETH,2.0,Nijmegen (NED),2001-11-11,1214.0,15-kilometres,road-running,male,senior,15-kilometres,track,2498.0,NED,28.0,2001
8,41:38,,Sileshi SIHINE,1983-01-29,ETH,1.0,Nijmegen (NED),2004-11-21,1214.0,15-kilometres,road-running,male,senior,15-kilometres,track,2498.0,NED,21.0,2004
10,41:49,,Stephen KISSA,1988-12-01,UGA,1.0,Nijmegen (NED),2019-11-17,1203.0,15-kilometres,road-running,male,senior,15-kilometres,track,2509.0,NED,30.0,2019
11,41:51,,Edwin KIPTOO,1993-08-14,KEN,2.0,Nijmegen (NED),2019-11-17,1201.0,15-kilometres,road-running,male,senior,15-kilometres,track,2511.0,NED,26.0,2019
12,41:53,,Rhonex KIPRUTO,1999-10-12,KEN,1.0,Le Puy-en-Velay (FRA),2019-05-01,1199.0,15-kilometres,road-running,male,senior,15-kilometres,track,2513.0,FRA,19.0,2019
13,41:55,,Abel KIPCHUMBA,1994-02-03,KEN,1.0,Valencia (ESP),2019-06-08,1197.0,15-kilometres,road-running,male,senior,15-kilometres,track,2515.0,ESP,25.0,2019
14,41:57,,Haile GEBRSELASSIE,1973-04-18,ETH,1.0,Nijmegen (NED),2005-11-20,1194.0,15-kilometres,road-running,male,senior,15-kilometres,track,2517.0,NED,32.0,2005
15,42:00,,Mathew Kipkorir KIMELI,1998-01-04,KEN,1.0,Le Puy-en-Velay (FRA),2017-05-01,1191.0,15-kilometres,road-running,male,senior,15-kilometres,track,2520.0,FRA,19.0,2017
16,42:01,,Salim KIPSANG,1979-12-22,KEN,3.0,Nijmegen (NED),2001-11-11,1190.0,15-kilometres,road-running,male,senior,15-kilometres,track,2521.0,NED,21.0,2001
16,42:01,,Abera KUMA,1990-08-31,ETH,2.0,Nijmegen (NED),2010-11-21,1190.0,15-kilometres,road-running,male,senior,15-kilometres,track,2521.0,NED,20.0,2010
16,42:01,,Nicholas KIPKEMBOI,1986-07-05,KEN,1.0,Nijmegen (NED),2012-11-18,1190.0,15-kilometres,road-running,male,senior,15-kilometres,track,2521.0,NED,26.0,2012
19,42:02,,Ayele ABSHERO,1990-12-28,ETH,3.0,Nijmegen (NED),2010-11-21,1189.0,15-kilometres,road-running,male,senior,15-kilometres,track,2522.0,NED,19.0,2010
19,42:02,,Josphat BOIT,1995-11-25,KEN,1.0,Valencia (ESP),2018-06-02,1189.0,15-kilometres,road-running,male,senior,15-kilometres,track,2522.0,ESP,22.0,2018
21,42:06,,Moses KOECH,1997-08-05,KEN,3.0,Nijmegen (NED),2019-11-17,1185.0,15-kilometres,road-running,male,senior,15-kilometres,track,2526.0,NED,22.0,2019
22,42:08,,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2016-11-13,1183.0,15-kilometres,road-running,male,senior,15-kilometres,track,2528.0,NED,20.0,2016
22,42:08,,Rogers KIBET,2003-03-26,UGA,1.0,Nijmegen (NED),2022-11-20,1183.0,15-kilometres,road-running,male,senior,15-kilometres,track,2528.0,NED,19.0,2022
24,42:10,,Wesley KIPTOO,1999-07-07,KEN,1.0,"Jacksonville, FL (USA)",2025-03-01,1181.0,15-kilometres,road-running,male,senior,15-kilometres,track,2530.0,USA,25.0,2025
25,42:11,,John KORIR,1996-12-02,KEN,1.0,"Utica, NY (USA)",2024-07-14,1180.0,15-kilometres,road-running,male,senior,15-kilometres,track,2531.0,USA,27.0,2024
26,42:12,,Paul TERGAT,1969-06-17,KEN,1.0,La Courneuve (FRA),1994-05-29,1179.0,15-kilometres,road-running,male,senior,15-kilometres,track,2532.0,FRA,24.0,1994
27,42:13,,Geoffrey KOECH,1993-08-28,KEN,1.0,Heerenberg (NED),2019-12-01,1178.0,15-kilometres,road-running,male,senior,15-kilometres,track,2533.0,NED,26.0,2019
28,42:14,,Sileshi SIHINE,1983-01-29,ETH,1.0,Nijmegen (NED),2009-11-15,1177.0,15-kilometres,road-running,male,senior,15-kilometres,track,2534.0,NED,26.0,2009
28,42:14,,Nicolas KIPRONO,1987-11-07,UGA,2.0,Nijmegen (NED),2009-11-15,1177.0,15-kilometres,road-running,male,senior,15-kilometres,track,2534.0,NED,22.0,2009
28,42:14,,Emmanuel Moi MARU,2001-01-04,KEN,1.0,Valencia (ESP),2021-09-18,1177.0,15-kilometres,road-running,male,senior,15-kilometres,track,2534.0,ESP,20.0,2021
31,42:15,,Leonard Patrick KOMON,1988-01-10,KEN,1.0,Nijmegen (NED),2013-11-17,1176.0,15-kilometres,road-running,male,senior,15-kilometres,track,2535.0,NED,25.0,2013
32,42:16,,Stephen KIPROP,1999-09-08,KEN,1.0,Le Puy-en-Velay (FRA),2018-05-01,1175.0,15-kilometres,road-running,male,senior,15-kilometres,track,2536.0,FRA,18.0,2018
33,42:17,,Zersenay TADESE,1982-01-01,ERI,2.0,Nijmegen (NED),2005-11-20,1174.0,15-kilometres,road-running,male,senior,15-kilometres,track,2537.0,NED,23.0,2005
33,42:17,,Ayele ABSHERO,1990-12-28,ETH,1.0,Nijmegen (NED),2008-11-16,1174.0,15-kilometres,road-running,male,senior,15-kilometres,track,2537.0,NED,17.0,2008
35,42:18,,Abera KUMA,1990-08-31,ETH,1.0,Nijmegen (NED),2014-11-16,1173.0,15-kilometres,road-running,male,senior,15-kilometres,track,2538.0,NED,24.0,2014
35,42:18,,Josphat BOIT,1995-11-25,KEN,2.0,Heerenberg (NED),2019-12-01,1173.0,15-kilometres,road-running,male,senior,15-kilometres,track,2538.0,NED,24.0,2019
35,42:18,,Leonard Patrick KOMON,1988-01-10,KEN,2.0,Nijmegen (NED),2012-11-18,1173.0,15-kilometres,road-running,male,senior,15-kilometres,track,2538.0,NED,24.0,2012
38,42:19,,Jemal MEKONEN,1996-09-11,ETH,2.0,"Utica, NY (USA)",2024-07-14,1172.0,15-kilometres,road-running,male,senior,15-kilometres,track,2539.0,USA,27.0,2024
39,42:20,,Worku BIKILA,1968-05-06,ETH,1.0,Nijmegen (NED),1997-11-16,1171.0,15-kilometres,road-running,male,senior,15-kilometres,track,2540.0,NED,29.0,1997
39,42:20,,Haymanot ALEW,1997-11-11,ETH,2.0,Le Puy-en-Velay (FRA),2018-05-01,1171.0,15-kilometres,road-running,male,senior,15-kilometres,track,2540.0,FRA,20.0,2018
41,42:21,,Isaac KIPROP,1986-10-09,UGA,2.0,Nijmegen (NED),2008-11-16,1170.0,15-kilometres,road-running,male,senior,15-kilometres,track,2541.0,NED,22.0,2008
41,42:21,,Tesfahun AKALNEW,1999-04-29,ETH,4.0,Nijmegen (NED),2019-11-17,1170.0,15-kilometres,road-running,male,senior,15-kilometres,track,2541.0,NED,20.0,2019
43,42:22,,Todd WILLIAMS,1969-03-07,USA,1.0,"Jacksonville, FL (USA)",1995-03-11,1169.0,15-kilometres,road-running,male,senior,15-kilometres,track,2542.0,USA,26.0,1995
44,42:23,,Josphat Machuka KIPRONO,1973-12-12,KEN,1.0,Nijmegen (NED),1995-11-19,1168.0,15-kilometres,road-running,male,senior,15-kilometres,track,2543.0,NED,21.0,1995
44,42:23,,Josphat Machuka KIPRONO,1973-12-12,KEN,2.0,Nijmegen (NED),1997-11-16,1168.0,15-kilometres,road-running,male,senior,15-kilometres,track,2543.0,NED,23.0,1997
44,42:23,,Tesfahun AKALNEW,1999-04-29,ETH,3.0,Heerenberg (NED),2019-12-01,1168.0,15-kilometres,road-running,male,senior,15-kilometres,track,2543.0,NED,20.0,2019
47,42:24,,Sileshi SIHINE,1983-01-29,ETH,1.0,Nijmegen (NED),2007-11-18,1167.0,15-kilometres,road-running,male,senior,15-kilometres,track,2544.0,NED,24.0,2007
47,42:24,,Worku BIKILA,1968-05-06,ETH,1.0,Nijmegen (NED),1998-05-24,1167.0,15-kilometres,road-running,male,senior,15-kilometres,track,2544.0,NED,30.0,1998
49,42:25,,Geoffrey MUTAI,1981-10-07,KEN,1.0,Heerenberg (NED),2012-12-02,1166.0,15-kilometres,road-running,male,senior,15-kilometres,track,2545.0,NED,31.0,2012
49,42:25,,Vincent Kiprotich KIBET,1999-03-19,KEN,5.0,Nijmegen (NED),2019-11-17,1166.0,15-kilometres,road-running,male,senior,15-kilometres,track,2545.0,NED,20.0,2019
49,42:25,,Moses MOSOP,1985-07-07,KEN,2.0,Nijmegen (NED),2004-11-21,1166.0,15-kilometres,road-running,male,senior,15-kilometres,track,2545.0,NED,19.0,2004
52,42:26,,Philip Kiprono LANGAT,1990-04-23,KEN,2.0,Heerenberg (NED),2012-12-02,1165.0,15-kilometres,road-running,male,senior,15-kilometres,track,2546.0,NED,22.0,2012
52,42:26,,Yigrem DEMELASH,1994-01-26,ETH,2.0,Nijmegen (NED),2014-11-16,1165.0,15-kilometres,road-running,male,senior,15-kilometres,track,2546.0,NED,20.0,2014
54,42:27,,Alfred BARKACH,1997-03-02,KEN,2.0,Valencia (ESP),2019-06-08,1164.0,15-kilometres,road-running,male,senior,15-kilometres,track,2547.0,ESP,22.0,2019
55,42:28,,Michael MUSYOKI,1956-05-28,KEN,1.0,"Portland, OR (USA)",1983-06-26,1163.0,15-kilometres,road-running,male,senior,15-kilometres,track,2548.0,USA,27.0,1983
55,42:28,,Nguse AMLOSOM,1986-11-10,ERI,3.0,Nijmegen (NED),2012-11-18,1163.0,15-kilometres,road-running,male,senior,15-kilometres,track,2548.0,NED,26.0,2012
55,42:28,,Robert KETER,1989-12-26,KEN,4.0,Heerenberg (NED),2019-12-01,1163.0,15-kilometres,road-running,male,senior,15-kilometres,track,2548.0,NED,29.0,2019
58,42:29,,Kennedy KIMUTAI,1991-07-18,KEN,4.0,Nijmegen (NED),2012-11-18,1162.0,15-kilometres,road-running,male,senior,15-kilometres,track,2549.0,NED,21.0,2012
58,42:29,,Bashir ABDI,1989-02-10,BEL,5.0,Heerenberg (NED),2019-12-01,1162.0,15-kilometres,road-running,male,senior,15-kilometres,track,2549.0,NED,30.0,2019
60,42:30,,Yenew ALAMIREW,1990-05-27,ETH,3.0,Nijmegen (NED),2014-11-16,1161.0,15-kilometres,road-running,male,senior,15-kilometres,track,2550.0,NED,24.0,2014
61,42:31,,Tesfaye ABERA,1992-03-31,ETH,4.0,Nijmegen (NED),2014-11-16,1160.0,15-kilometres,road-running,male,senior,15-kilometres,track,2551.0,NED,22.0,2014
62,42:32,,Simon CHEPROT,1990-02-18,KEN,2.0,Valencia (ESP),2018-06-02,1159.0,15-kilometres,road-running,male,senior,15-kilometres,track,2552.0,ESP,28.0,2018
62,42:32,,Nicholas KIPKEMBOI,1986-07-05,KEN,2.0,Nijmegen (NED),2013-11-17,1159.0,15-kilometres,road-running,male,senior,15-kilometres,track,2552.0,NED,27.0,2013
64,42:33,,Andrew MASAI,1960-12-13,KEN,2.0,La Courneuve (FRA),1994-05-29,1158.0,15-kilometres,road-running,male,senior,15-kilometres,track,2553.0,FRA,33.0,1994
65,42:34,,Philip Kiprono LANGAT,1990-04-23,KEN,1.0,Heerenberg (NED),2011-12-04,1157.0,15-kilometres,road-running,male,senior,15-kilometres,track,2554.0,NED,21.0,2011
65,42:34,,Abrar OSMAN,1994-01-01,ERI,2.0,Nijmegen (NED),2018-11-18,1157.0,15-kilometres,road-running,male,senior,15-kilometres,track,2554.0,NED,24.0,2018
67,42:35,,Philemon HANNECK,1971-05-12,ZIM,1.0,"Tampa, FL (USA)",1994-02-26,1156.0,15-kilometres,road-running,male,senior,15-kilometres,track,2555.0,USA,22.0,1994
67,42:35,,Sabastian Kimaru SAWE,1995-03-16,KEN,1.0,Heerenberg (NED),2023-12-03,1156.0,15-kilometres,road-running,male,senior,15-kilometres,track,2555.0,NED,28.0,2023
69,42:36,,Arturo BARRIOS,1963-12-12,MEX,1.0,"Portland, OR (USA)",1986-06-29,1155.0,15-kilometres,road-running,male,senior,15-kilometres,track,2556.0,USA,22.0,1986
69,42:36,,Eshetu WENDIMU,1986-10-03,ETH,2.0,Nijmegen (NED),2007-11-18,1155.0,15-kilometres,road-running,male,senior,15-kilometres,track,2556.0,NED,21.0,2007
69,42:36,,Haile GEBRSELASSIE,1973-04-18,ETH,1.0,Heerenberg (NED),2007-12-02,1155.0,15-kilometres,road-running,male,senior,15-kilometres,track,2556.0,NED,34.0,2007
69,42:36,,Joseph KARANJA,1999-10-16,KEN,2.0,Valencia (ESP),2021-09-18,1155.0,15-kilometres,road-running,male,senior,15-kilometres,track,2556.0,ESP,21.0,2021
73,42:37,,Kenneth CHERUIYOT,1974-02-08,KEN,1.0,La Courneuve (FRA),1998-05-03,1154.0,15-kilometres,road-running,male,senior,15-kilometres,track,2557.0,FRA,24.0,1998
73,42:37,,Marcos BARRETO,1960-04-25,MEX,1.0,"Tampa, FL (USA)",1988-02-13,1154.0,15-kilometres,road-running,male,senior,15-kilometres,track,2557.0,USA,27.0,1988
73,42:37,,Josphat Machuka KIPRONO,1973-12-12,KEN,1.0,"Tampa, FL (USA)",1995-02-18,1154.0,15-kilometres,road-running,male,senior,15-kilometres,track,2557.0,USA,21.0,1995
76,42:38,,Jemal MEKONEN,1996-09-11,ETH,1.0,"Utica, NY (USA)",2022-07-10,1153.0,15-kilometres,road-running,male,senior,15-kilometres,track,2558.0,USA,25.0,2022
76,42:38,,Alejandro CRUZ,1968-02-10,MEX,1.0,"Portland, OR (USA)",1989-06-18,1153.0,15-kilometres,road-running,male,senior,15-kilometres,track,2558.0,USA,21.0,1989
76,42:38,,Nicholas Manza KAMAKYA,1985-03-02,KEN,1.0,Heerenberg (NED),2009-12-06,1153.0,15-kilometres,road-running,male,senior,15-kilometres,track,2558.0,NED,24.0,2009
79,42:39,,Jon BROWN,1971-02-27,GBR,2.0,"Tampa, FL (USA)",1994-02-26,1152.0,15-kilometres,road-running,male,senior,15-kilometres,track,2559.0,USA,23.0,1994
79,42:39,,Brahim LAHLAFI,1968-04-15,MAR,1.0,La Courneuve (FRA),1997-04-27,1152.0,15-kilometres,road-running,male,senior,15-kilometres,track,2559.0,FRA,29.0,1997
79,42:39,,Joshua CHEPTEGEI,1996-09-12,UGA,1.0,Nijmegen (NED),2015-11-15,1152.0,15-kilometres,road-running,male,senior,15-kilometres,track,2559.0,NED,19.0,2015
82,42:40,,Steve SPENCE,1962-05-09,USA,2.0,"Portland, OR (USA)",1989-06-18,1151.0,15-kilometres,road-running,male,senior,15-kilometres,track,2560.0,USA,27.0,1989
82,42:40,,Joseph KIMANI,1972-09-21,KEN,1.0,"Utica, NY (USA)",1996-07-14,1151.0,15-kilometres,road-running,male,senior,15-kilometres,track,2560.0,USA,23.0,1996
82,42:40,,Haile GEBRSELASSIE,1973-04-18,ETH,1.0,Melbourne (AUS),2008-11-30,1151.0,15-kilometres,road-running,male,senior,15-kilometres,track,2560.0,AUS,35.0,2008
82,42:40,,Nguse AMLOSOM,1986-11-10,ERI,5.0,Nijmegen (NED),2014-11-16,1151.0,15-kilometres,road-running,male,senior,15-kilometres,track,2560.0,NED,28.0,2014
82,42:40,,Amedework WALELEGN,1999-03-11,ETH,2.0,Nijmegen (NED),2017-11-19,1151.0,15-kilometres,road-running,male,senior,15-kilometres,track,2560.0,NED,18.0,2017
82,42:40,,Edwin KIPLAGAT,1993-02-19,KEN,2.0,"Utica, NY (USA)",2022-07-10,1151.0,15-kilometres,road-running,male,senior,15-kilometres,track,2560.0,USA,29.0,2022
88,42:41,,Valdenor PEREIRA DOS SANTOS,1969-12-21,BRA,1.0,"Tampa, FL (USA)",1993-02-27,1150.0,15-kilometres,road-running,male,senior,15-kilometres,track,2561.0,USA,23.0,1993
88,42:41,,Ronaldo DA COSTA,1970-06-07,BRA,3.0,"Tampa, FL (USA)",1994-02-26,1150.0,15-kilometres,road-running,male,senior,15-kilometres,track,2561.0,USA,23.0,1994
90,42:42,,Micah Kemboi KOGO,1986-06-30,KEN,1.0,Nijmegen (NED),2006-11-19,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,NED,20.0,2006
90,42:42,,Kenenisa BEKELE,1982-06-13,ETH,1.0,Heerenberg (NED),2001-12-09,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,NED,19.0,2001
90,42:42,,Ismael KIRUI,1975-02-20,KEN,2.0,La Courneuve (FRA),1998-05-03,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,FRA,23.0,1998
90,42:42,,Ali Mabruk EL ZAIDI,1978-01-13,LBA,2.0,Heerenberg (NED),2007-12-02,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,NED,29.0,2007
90,42:42,,Sammy LELEI,1964-08-14,KEN,1.0,"Portland, OR (USA)",1992-06-28,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,USA,27.0,1992
90,42:42,,Dionicio CERÓN,1965-10-09,MEX,1.0,"Portland, OR (USA)",1990-06-17,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,USA,24.0,1990
90,42:42,,Paul CUMMINGS,1953-09-05,USA,2.0,"Portland, OR (USA)",1983-06-26,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,USA,29.0,1983
90,42:42,,Jon BROWN,1971-02-27,GBR,1.0,"Tampa, FL (USA)",1996-02-24,1149.0,15-kilometres,road-running,male,senior,15-kilometres,track,2562.0,USA,25.0,1996
98,42:43,,Noah KIPKEMBOI,1993-07-02,KEN,3.0,Nijmegen (NED),2017-11-19,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,NED,24.0,2017
98,42:43,,Abebe DINKESA,1984-03-06,ETH,2.0,Nijmegen (NED),2006-11-19,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,NED,22.0,2006
98,42:43,,Nibret MELAK,1999-10-09,ETH,2.0,Nijmegen (NED),2022-11-20,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,NED,23.0,2022
98,42:43,,Nicholas Manza KAMAKYA,1985-03-02,KEN,1.0,Porto (POR),2006-06-18,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,POR,21.0,2006
98,42:43,,Paul Malakwen KOSGEI,1978-04-22,KEN,1.0,Le Puy-en-Velay (FRA),2001-05-01,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,FRA,23.0,2001
98,42:43,,Mubarak Hassan SHAMI,1980-12-02,QAT,1.0,Nijmegen (NED),2003-11-16,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,NED,22.0,2003
98,42:43,,Alphonse MUINDI,1972-04-28,KEN,4.0,"Tampa, FL (USA)",1994-02-26,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,USA,21.0,1994
98,42:43,,Ibrahim HUSSEIN,1958-06-03,KEN,2.0,"Portland, OR (USA)",1986-06-29,1148.0,15-kilometres,road-running,male,senior,15-kilometres,track,2563.0,USA,28.0,1986
106,42:44,,Stanley Kurgat RONO,1999-08-04,KEN,6.0,Heerenberg (NED),2019-12-01,1147.0,15-kilometres,road-running,male,senior,15-kilometres,track,2564.0,NED,20.0,2019
106,42:44,,Haile GEBRSELASSIE,1973-04-18,ETH,1.0,Nijmegen (NED),2011-11-20,1147.0,15-kilometres,road-running,male,senior,15-kilometres,track,2564.0,NED,38.0,2011
106,42:44,,Zersenay TADESE,1982-01-01,ERI,4.0,Nijmegen (NED),2006-11-19,1147.0,15-kilometres,road-running,male,senior,15-kilometres,track,2564.0,NED,24.0,2006
106,42:44,,Bernard Kiprop KIPYEGO,1986-07-16,KEN,3.0,Nijmegen (NED),2006-11-19,1147.0,15-kilometres,road-running,male,senior,15-kilometres,track,2564.0,NED,20.0,2006
106,42:44,,Rogers KIBET,2003-03-26,UGA,2.0,Nijmegen (NED),2023-11-19,1147.0,15-kilometres,road-running,male,senior,15-kilometres,track,2564.0,NED,20.0,2023
106,42:44,,Shem KORORIA,1972-09-25,KEN,1.0,La Courneuve (FRA),1996-04-28,1147.0,15-kilometres,road-running,male,senior,15-kilometres,track,2564.0,FRA,23.0,1996
