rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,6.56,,Gwen TORRENCE,1965-06-12,USA,1,"Oklahoma City, OK (USA) (i)",1987-03-14,1202.0,55-metres,sprints,female,senior,55-metres,track,6.56,USA,21.0,1987
2,6.58,,Dawn SOWELL,1966-03-27,USA,1,"Baton Rouge, LA (USA) (i)",1989-02-26,1194.0,55-metres,sprints,female,senior,55-metres,track,6.58,USA,22.0,1989
2,6.58,,Beatrice UTONDU-OKOYE,1969-11-23,NGR,1,"Monroe, NC (USA) (i)",1990-02-11,1194.0,55-metres,sprints,female,senior,55-metres,track,6.58,USA,20.0,1990
4,6.6,,Gwen TORRENCE,1965-06-12,USA,1,"Gainesville, FL (USA) (i)",1987-03-01,1187.0,55-metres,sprints,female,senior,55-metres,track,6.6,USA,21.0,1987
4,6.6,,Gwen TORRENCE,1965-06-12,USA,1,"East Rutherford, NJ (USA) (i)",1988-02-13,1187.0,55-metres,sprints,female,senior,55-metres,track,6.6,USA,22.0,1988
4,6.6,,Gwen TORRENCE,1965-06-12,USA,1,"Walker Track, Johnson City, TN (USA) (i)",1995-01-28,1187.0,55-metres,sprints,female,senior,55-metres,track,6.6,USA,29.0,1995
7,6.61,,Gwen TORRENCE,1965-06-12,USA,1,"East Rutherford, NJ (USA) (i)",1987-02-14,1183.0,55-metres,sprints,female,senior,55-metres,track,6.61,USA,21.0,1987
7,6.61,,Gwen TORRENCE,1965-06-12,USA,1,"New York, NY (USA) (i)",1989-02-24,1183.0,55-metres,sprints,female,senior,55-metres,track,6.61,USA,23.0,1989
7,6.61,,Michelle BURRELL-FINN,1965-05-08,USA,1,"New York, NY (USA) (i)",1990-02-23,1183.0,55-metres,sprints,female,senior,55-metres,track,6.61,USA,24.0,1990
10,6.62,,Gwen TORRENCE,1965-06-12,USA,1,"Oklahoma City, OK (USA) (i)",1986-03-14,1180.0,55-metres,sprints,female,senior,55-metres,track,6.62,USA,20.0,1986
10,6.62,,Dawn SOWELL,1966-03-27,USA,1,"Indianapolis, IN (USA) (i)",1989-03-11,1180.0,55-metres,sprints,female,senior,55-metres,track,6.62,USA,22.0,1989
10,6.62,,Marlies GÖHR,1958-03-21,GDR,1h1,"New York, NY (USA) (i)",1986-02-28,1180.0,55-metres,sprints,female,senior,55-metres,track,6.62,USA,27.0,1986
13,6.63,,Gwen TORRENCE,1965-06-12,USA,1h1,"Oklahoma City, OK (USA) (i)",1986-03-14,1176.0,55-metres,sprints,female,senior,55-metres,track,6.63,USA,20.0,1986
14,6.64,,Chandra CHEESEBOROUGH,1959-01-10,USA,1sf2,"New York, NY (USA) (i)",1983-02-25,1173.0,55-metres,sprints,female,senior,55-metres,track,6.64,USA,24.0,1983
