rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,2.45,,Javier SOTOMAYOR,1967-10-13,CUB,1,Salamanca (ESP),1993-07-27,1314.0,high-jump,jumps,male,senior,high-jump,field,2.45,ESP,25.0,1993
2,2.44,,Javier SOTOMAYOR,1967-10-13,CUB,1,San Juan (PUR),1989-07-29,1305.0,high-jump,jumps,male,senior,high-jump,field,2.44,PUR,21.0,1989
3,2.43,,Javier SOTOMAYOR,1967-10-13,CUB,1,Salamanca (ESP),1988-09-08,1296.0,high-jump,jumps,male,senior,high-jump,field,2.43,ESP,20.0,1988
3,2.43,,Javier SOTOMAYOR,1967-10-13,CUB,1,"Budapest Sportcsarnok, Budapest (HUN) (i)",1989-03-04,1296.0,high-jump,jumps,male,senior,high-jump,field,2.43,HUN,21.0,1989
3,2.43,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1296.0,high-jump,jumps,male,senior,high-jump,field,2.43,BEL,23.0,2014
6,2.42,,Patrik SJÖBERG,1965-01-05,SWE,1,Stockholm (SWE),1987-06-30,1287.0,high-jump,jumps,male,senior,high-jump,field,2.42,SWE,22.0,1987
6,2.42,,Carlo THRÄNHARDT,1957-07-05,FRG,1,Berlin (GER) (i),1988-02-26,1287.0,high-jump,jumps,male,senior,high-jump,field,2.42,GER,30.0,1988
6,2.42,,Javier SOTOMAYOR,1967-10-13,CUB,1,Sevilla (ESP),1994-06-05,1287.0,high-jump,jumps,male,senior,high-jump,field,2.42,ESP,26.0,1994
6,2.42,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Icahn Stadium, New York, NY (USA)",2014-06-14,1287.0,high-jump,jumps,male,senior,high-jump,field,2.42,USA,24.0,2014
6,2.42,,Mutaz Essa BARSHIM,1991-06-24,QAT,2,"Icahn Stadium, New York, NY (USA)",2014-06-14,1287.0,high-jump,jumps,male,senior,high-jump,field,2.42,USA,22.0,2014
11,2.41,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04,1278.0,high-jump,jumps,male,senior,high-jump,field,2.41,SUI,23.0,2013
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Hayward Field, Eugene, OR (USA)",2015-05-30,1278.0,high-jump,jumps,male,senior,high-jump,field,2.41,USA,23.0,2015
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,Eberstadt (GER),2014-08-22,1278.0,high-jump,jumps,male,senior,high-jump,field,2.41,GER,23.0,2014
11,2.41,,Mutaz Essa BARSHIM,1991-06-24,QAT,1,"Stadio Olimpico, Roma (ITA)",2014-06-05,1278.0,high-jump,jumps,male,senior,high-jump,field,2.41,ITA,22.0,2014
11,2.41,,Bohdan BONDARENKO,1989-08-30,UKR,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-15,1278.0,high-jump,jumps,male,senior,high-jump,field,2.41,RUS,23.0,2013
