rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,72.28,,Barbora ŠPOTÁKOVÁ,1981-06-30,CZE,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2008-09-13,1306.0,javelin-throw,throws,female,senior,javelin-throw,field,72.28,GER,27.0,2008
2,71.7,,Olisdeilys MENÉNDEZ,1979-11-14,CUB,1,"Olympiastadion, Helsinki (FIN)",2005-08-14,1295.0,javelin-throw,throws,female,senior,javelin-throw,field,71.7,FIN,25.0,2005
3,71.58,,Barbora ŠPOTÁKOVÁ,1981-06-30,CZE,1,"DS, Daegu (KOR)",2011-09-02,1293.0,javelin-throw,throws,female,senior,javelin-throw,field,71.58,KOR,30.0,2011
4,71.54,,Olisdeilys MENÉNDEZ,1979-11-14,CUB,1,Rethymno (GRE),2001-07-01,1292.0,javelin-throw,throws,female,senior,javelin-throw,field,71.54,GRE,21.0,2001
5,71.53,,Olisdeilys MENÉNDEZ,1979-11-14,CUB,1,"Olympic Stadium, Athina (GRE)",2004-08-27,1292.0,javelin-throw,throws,female,senior,javelin-throw,field,71.53,GRE,24.0,2004
6,71.42,,Barbora ŠPOTÁKOVÁ,1981-06-30,CZE,1,"National Stadium, Beijing (CHN)",2008-08-21,1290.0,javelin-throw,throws,female,senior,javelin-throw,field,71.42,CHN,27.0,2008
7,71.4,,Maria ANDREJCZYK,1996-03-09,POL,1f1,"Stadion Park Mladeži, Split (CRO)",2021-05-09,1290.0,javelin-throw,throws,female,senior,javelin-throw,field,71.4,CRO,25.0,2021
8,70.53,,Mariya ABAKUMOVA,1986-01-15,RUS,1,"Olympiastadion, Berlin (GER)",2013-09-01,1274.0,javelin-throw,throws,female,senior,javelin-throw,field,70.53,GER,27.0,2013
9,70.2,,Christina OBERGFÖLL,1981-08-22,GER,1,"Olympiastadion, München (GER)",2007-06-23,1267.0,javelin-throw,throws,female,senior,javelin-throw,field,70.2,GER,25.0,2007
1,70.1,,Adriana VILAGOŠ,2004-01-02,SRB,1,"Atletski Stadion, Kraljevo (SRB)",2021-08-14,,javelin-throw-500g,throws,female,u18,javelin-throw,field,70.1,SRB,17.0,2021
10,70.03,,Christina OBERGFÖLL,1981-08-22,GER,2,"Olympiastadion, Helsinki (FIN)",2005-08-14,1264.0,javelin-throw,throws,female,senior,javelin-throw,field,70.03,FIN,23.0,2005
11,69.82,,Olisdeilys MENÉNDEZ,1979-11-14,CUB,1,Beijing (CHN),2001-08-29,1260.0,javelin-throw,throws,female,senior,javelin-throw,field,69.82,CHN,21.0,2001
12,69.81,,Christina OBERGFÖLL,1981-08-22,GER,1,Elstal (GER),2008-08-31,1260.0,javelin-throw,throws,female,senior,javelin-throw,field,69.81,GER,27.0,2008
