rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,8.95,0.3,Mike POWELL,1963-11-10,USA,1,"National Stadium, Tokyo (JPN)",1991-08-30,1346.0,long-jump,jumps,male,senior,long-jump,field,8.95,JPN,27.0,1991
2,8.9,2.0,Bob BEAMON,1946-08-29,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",1968-10-18,1335.0,long-jump,jumps,male,senior,long-jump,field,8.9,MEX,22.0,1968
3,8.87,-0.2,Carl LEWIS,1961-07-01,USA,,"National Stadium, Tokyo (JPN)",1991-08-30,1330.0,long-jump,jumps,male,senior,long-jump,field,8.87,JPN,30.0,1991
4,8.86,1.9,Robert EMMIYAN,1965-02-16,URS,1,Tsakhadzor (ARM),1987-05-22,1326.0,long-jump,jumps,male,senior,long-jump,field,8.86,ARM,22.0,1987
5,8.79,1.9,Carl LEWIS,1961-07-01,USA,1,"Indianapolis, IN (USA)",1983-06-19,1311.0,long-jump,jumps,male,senior,long-jump,field,8.79,USA,21.0,1983
5,8.79,,Carl LEWIS,1961-07-01,USA,1,"New York, NY (USA) (i)",1984-01-27,1311.0,long-jump,jumps,male,senior,long-jump,field,8.79,USA,22.0,1984
7,8.76,1.0,Carl LEWIS,1961-07-01,USA,1,"Indianapolis, IN (USA)",1982-07-24,1304.0,long-jump,jumps,male,senior,long-jump,field,8.76,USA,21.0,1982
7,8.76,0.8,Carl LEWIS,1961-07-01,USA,1,"Indianapolis, IN (USA)",1988-07-18,1304.0,long-jump,jumps,male,senior,long-jump,field,8.76,USA,27.0,1988
9,8.74,1.4,Larry MYRICKS,1956-03-10,USA,2,"Indianapolis, IN (USA)",1988-07-18,1300.0,long-jump,jumps,male,senior,long-jump,field,8.74,USA,32.0,1988
9,8.74,2.0,Erick WALDER,1971-11-05,USA,1,"El Paso, TX (USA)",1994-04-02,1300.0,long-jump,jumps,male,senior,long-jump,field,8.74,USA,22.0,1994
9,8.74,-1.2,Dwight PHILLIPS,1977-10-01,USA,1,"Eugene, OR (USA)",2009-06-07,1307.0,long-jump,jumps,male,senior,long-jump,field,8.74,USA,31.0,2009
12,8.73,1.2,Irving SALADINO,1983-01-23,PAN,1,"FBK Stadium, Hengelo (NED)",2008-05-24,1298.0,long-jump,jumps,male,senior,long-jump,field,8.73,NED,25.0,2008
13,8.72,-0.2,Carl LEWIS,1961-07-01,USA,1,"Olympic Stadium, Seoul (KOR)",1988-09-26,1296.0,long-jump,jumps,male,senior,long-jump,field,8.72,KOR,27.0,1988
14,8.71,1.9,Iván PEDROSO,1972-12-17,CUB,1,"Helmántico, Salamanca (ESP)",1995-07-18,1293.0,long-jump,jumps,male,senior,long-jump,field,8.71,ESP,22.0,1995
14,8.71,,Sebastian BAYER,1986-06-11,GER,1,"Oval Lingotto, Torino (ITA) (i)",2009-03-08,1293.0,long-jump,jumps,male,senior,long-jump,field,8.71,ITA,22.0,2009
14,8.71,0.1,Carl LEWIS,1961-07-01,USA,1,"Los Angeles, CA (USA)",1984-06-19,1293.0,long-jump,jumps,male,senior,long-jump,field,8.71,USA,22.0,1984
14,8.71,-0.4,Carl LEWIS,1961-07-01,USA,1,"Westwood, CA (USA)",1984-05-13,1295.0,long-jump,jumps,male,senior,long-jump,field,8.71,USA,22.0,1984
18,8.7,0.9,Larry MYRICKS,1956-03-10,USA,1,"Houston, TX (USA)",1989-06-17,1291.0,long-jump,jumps,male,senior,long-jump,field,8.7,USA,33.0,1989
18,8.7,0.7,Mike POWELL,1963-11-10,USA,1,Salamanca (ESP),1993-07-27,1291.0,long-jump,jumps,male,senior,long-jump,field,8.7,ESP,29.0,1993
18,8.7,1.6,Iván PEDROSO,1972-12-17,CUB,1,"Ullevi Stadium, Göteborg (SWE)",1995-08-12,1291.0,long-jump,jumps,male,senior,long-jump,field,8.7,SWE,22.0,1995
21,8.69,0.5,Tajay GAYLE,1996-08-02,JAM,1,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1289.0,long-jump,jumps,male,senior,long-jump,field,8.69,QAT,23.0,2019
22,8.68,1.0,Carl LEWIS,1961-07-01,USA,1q2,"Estadio Olímpico, Barcelona (ESP)",1992-08-05,1287.0,long-jump,jumps,male,senior,long-jump,field,8.68,ESP,31.0,1992
22,8.68,1.6,Iván PEDROSO,1972-12-17,CUB,1,Lisboa (POR),1995-06-17,1287.0,long-jump,jumps,male,senior,long-jump,field,8.68,POR,22.0,1995
22,8.68,1.7,Juan Miguel ECHEVARRÍA,1998-08-11,CUB,1,Bad Langensalza (GER),2018-06-30,1287.0,long-jump,jumps,male,senior,long-jump,field,8.68,GER,19.0,2018
25,8.67,0.4,Carl LEWIS,1961-07-01,USA,1,"Stadio Olimpico, Roma (ITA)",1987-09-05,1284.0,long-jump,jumps,male,senior,long-jump,field,8.67,ITA,26.0,1987
25,8.67,-0.7,Carl LEWIS,1961-07-01,USA,1,"Estadio Olímpico, Barcelona (ESP)",1992-08-06,1288.0,long-jump,jumps,male,senior,long-jump,field,8.67,ESP,31.0,1992
27,8.66,0.3,Iván PEDROSO,1972-12-17,CUB,1,Linz (AUT),1995-08-22,1282.0,long-jump,jumps,male,senior,long-jump,field,8.66,AUT,22.0,1995
27,8.66,1.6,Louis TSATOUMAS,1982-02-12,GRE,1,Kalamata (GRE),2007-06-02,1282.0,long-jump,jumps,male,senior,long-jump,field,8.66,GRE,25.0,2007
27,8.66,1.0,Juan Miguel ECHEVARRÍA,1998-08-11,CUB,1,"Mestský Stadion, Ostrava (CZE)",2018-06-13,1282.0,long-jump,jumps,male,senior,long-jump,field,8.66,CZE,19.0,2018
27,8.66,0.9,Mike POWELL,1963-11-10,USA,1,Villeneuve d'Ascq (FRA),1990-06-28,1282.0,long-jump,jumps,male,senior,long-jump,field,8.66,FRA,26.0,1990
27,8.66,1.0,Larry MYRICKS,1956-03-10,USA,1,Tokyo (JPN),1987-09-23,1282.0,long-jump,jumps,male,senior,long-jump,field,8.66,JPN,31.0,1987
32,8.65,0.2,Carl LEWIS,1961-07-01,USA,1,Bruxelles (BEL),1984-08-24,1280.0,long-jump,jumps,male,senior,long-jump,field,8.65,BEL,23.0,1984
32,8.65,0.7,Carl LEWIS,1961-07-01,USA,1,San José (USA),1987-06-26,1280.0,long-jump,jumps,male,senior,long-jump,field,8.65,USA,26.0,1987
32,8.65,1.5,Iván PEDROSO,1972-12-17,CUB,1,Jena (GER),2000-06-03,1280.0,long-jump,jumps,male,senior,long-jump,field,8.65,GER,27.0,2000
32,8.65,1.3,Luvo MANYONGA,1991-01-08,RSA,1,Potchefstroom (RSA),2017-04-22,1280.0,long-jump,jumps,male,senior,long-jump,field,8.65,RSA,26.0,2017
32,8.65,-0.5,Juan Miguel ECHEVARRÍA,1998-08-11,CUB,1,"Letzigrund, Zürich (SUI)",2019-08-29,1283.0,long-jump,jumps,male,senior,long-jump,field,8.65,SUI,21.0,2019
32,8.65,-0.3,Miltiadis TENTOGLOU,1998-03-18,GRE,1,"Stadio Olimpico, Roma (ITA)",2024-06-08,1281.0,long-jump,jumps,male,senior,long-jump,field,8.65,ITA,26.0,2024
38,8.64,-0.5,Mike POWELL,1963-11-10,USA,2,"Estadio Olímpico, Barcelona (ESP)",1992-08-06,1281.0,long-jump,jumps,male,senior,long-jump,field,8.64,ESP,28.0,1992
38,8.64,1.7,Carl LEWIS,1961-07-01,USA,1,"New York, NY (USA)",1991-06-15,1278.0,long-jump,jumps,male,senior,long-jump,field,8.64,USA,29.0,1991
40,8.63,2.0,Larry MYRICKS,1956-03-10,USA,2,San José (USA),1987-06-26,1276.0,long-jump,jumps,male,senior,long-jump,field,8.63,USA,31.0,1987
40,8.63,0.5,Mike POWELL,1963-11-10,USA,2,"New York, NY (USA)",1991-06-15,1276.0,long-jump,jumps,male,senior,long-jump,field,8.63,USA,27.0,1991
40,8.63,0.5,Kareem STREETE-THOMPSON,1973-03-30,USA,1,Linz (AUT),1994-07-04,1276.0,long-jump,jumps,male,senior,long-jump,field,8.63,AUT,21.0,1994
