rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,6.34,,Christian COLEMAN,1996-03-06,USA,1,"Albuquerque, NM (USA) (i)",2018-02-18,1304.0,60-metres,sprints,male,senior,60-metres,track,6.34,USA,21.0,2018
2,6.37,,Christian COLEMAN,1996-03-06,USA,1,"Clemson, SC (USA) (i)",2018-01-19,1286.0,60-metres,sprints,male,senior,60-metres,track,6.37,USA,21.0,2018
2,6.37,,Christian COLEMAN,1996-03-06,USA,1,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-03,1286.0,60-metres,sprints,male,senior,60-metres,track,6.37,GBR,22.0,2018
4,6.39,,Maurice GREENE,1974-07-23,USA,1,Madrid (ESP) (i),1998-02-03,1274.0,60-metres,sprints,male,senior,60-metres,track,6.39,ESP,23.0,1998
4,6.39,,Maurice GREENE,1974-07-23,USA,1sf,"Atlanta, GA (USA) (i)",2001-03-03,1274.0,60-metres,sprints,male,senior,60-metres,track,6.39,USA,26.0,2001
6,6.4,,Maurice GREENE,1974-07-23,USA,sf,"Atlanta, GA (USA) (i)",1999-02-27,1268.0,60-metres,sprints,male,senior,60-metres,track,6.4,USA,24.0,1999
6,6.4,,Ronnie BAKER,1993-10-15,USA,2,"Albuquerque, NM (USA) (i)",2018-02-18,1268.0,60-metres,sprints,male,senior,60-metres,track,6.4,USA,24.0,2018
8,6.41,,Christian COLEMAN,1996-03-06,USA,2,"Štark Arena, Beograd (SRB) (i)",2022-03-19,1262.0,60-metres,sprints,male,senior,60-metres,track,6.41,SRB,26.0,2022
8,6.41,,Christian COLEMAN,1996-03-06,USA,1,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-01,1262.0,60-metres,sprints,male,senior,60-metres,track,6.41,GBR,28.0,2024
8,6.41,,Maurice GREENE,1974-07-23,USA,1,Stuttgart (GER) (i),1998-02-01,1262.0,60-metres,sprints,male,senior,60-metres,track,6.41,GER,23.0,1998
8,6.41,,Andre CASON,1969-01-20,USA,1,Madrid (ESP) (i),1992-02-14,1262.0,60-metres,sprints,male,senior,60-metres,track,6.41,ESP,23.0,1992
8,6.41,,Lamont Marcell JACOBS,1994-09-26,ITA,1,"Štark Arena, Beograd (SRB) (i)",2022-03-19,1262.0,60-metres,sprints,male,senior,60-metres,track,6.41,SRB,27.0,2022
13,6.42,,Maurice GREENE,1974-07-23,USA,1,"Green Dome, Maebashi (JPN) (i)",1999-03-07,1256.0,60-metres,sprints,male,senior,60-metres,track,6.42,JPN,24.0,1999
13,6.42,,Dwain CHAMBERS,1978-04-05,GBR,1sf2,"Oval Lingotto, Torino (ITA) (i)",2009-03-07,1256.0,60-metres,sprints,male,senior,60-metres,track,6.42,ITA,30.0,2009
13,6.42,,Christian COLEMAN,1996-03-06,USA,1sf2,"Albuquerque, NM (USA) (i)",2018-02-18,1256.0,60-metres,sprints,male,senior,60-metres,track,6.42,USA,21.0,2018
13,6.42,,Bingtian SU,1989-08-29,CHN,2,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-03,1256.0,60-metres,sprints,male,senior,60-metres,track,6.42,GBR,28.0,2018
13,6.42,,Trayvon BROMELL,1995-07-10,USA,1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",2023-02-10,1256.0,60-metres,sprints,male,senior,60-metres,track,6.42,USA,27.0,2023
13,6.42,0.9,Ackeem BLAKE,2002-01-21,JAM,1,"National Stadium, Kingston (JAM)",2023-02-25,1256.0,60-metres,sprints,male,senior,60-metres,track,6.42,JAM,21.0,2023
19,6.43,,Christian COLEMAN,1996-03-06,USA,1sf1,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-01,1250.0,60-metres,sprints,male,senior,60-metres,track,6.43,GBR,28.0,2024
19,6.43,,Noah LYLES,1997-07-18,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",2024-02-17,1250.0,60-metres,sprints,male,senior,60-metres,track,6.43,USA,26.0,2024
19,6.43,1.6,Lachlan KENNEDY,2003-11-04,AUS,1,"AIS Athletics Track, Canberra (AUS)",2025-01-25,1250.0,60-metres,sprints,male,senior,60-metres,track,6.43,AUS,21.0,2025
19,6.43,,Tim HARDEN,1974-01-27,USA,2,"Green Dome, Maebashi (JPN) (i)",1999-03-07,1250.0,60-metres,sprints,male,senior,60-metres,track,6.43,JPN,25.0,1999
19,6.43,,Maurice GREENE,1974-07-23,USA,h,Stuttgart (GER) (i),1998-02-01,1250.0,60-metres,sprints,male,senior,60-metres,track,6.43,GER,23.0,1998
19,6.43,,Bingtian SU,1989-08-29,CHN,1,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER) (i)",2018-02-06,1250.0,60-metres,sprints,male,senior,60-metres,track,6.43,GER,28.0,2018
25,6.44,,Noah LYLES,1997-07-18,USA,2,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-01,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,GBR,26.0,2024
25,6.44,,Noah LYLES,1997-07-18,USA,1,"The Track at New Balance, Boston, MA (USA) (i)",2024-02-04,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,USA,26.0,2024
25,6.44,,Marvin BRACY-WILLIAMS,1993-12-15,USA,3,"Štark Arena, Beograd (SRB) (i)",2022-03-19,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,SRB,28.0,2022
25,6.44,,Ronnie BAKER,1993-10-15,USA,1,"Gallur, Madrid (ESP) (i)",2020-02-21,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,ESP,26.0,2020
25,6.44,,Christian COLEMAN,1996-03-06,USA,2,"Convention Center, Albuquerque, NM (USA) (i)",2024-02-17,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,USA,27.0,2024
25,6.44,,Ronnie BAKER,1993-10-15,USA,3,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-03,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,GBR,24.0,2018
25,6.44,,Asafa POWELL,1982-11-23,JAM,1sf3,"Oregon Convention Center, Portland, OR (USA) (i)",2016-03-18,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,USA,33.0,2016
25,6.44,,Asafa POWELL,1982-11-23,JAM,1h5,"Oregon Convention Center, Portland, OR (USA) (i)",2016-03-18,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,USA,33.0,2016
25,6.44,,Tim HARDEN,1974-01-27,USA,1,"Atlantic Pavillion, Lisboa (POR) (i)",2001-03-11,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,POR,27.0,2001
25,6.44,,Tim HARDEN,1974-01-27,USA,1,"Atlanta, GA (USA) (i)",1999-02-27,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,USA,25.0,1999
25,6.44,,Ronnie BAKER,1993-10-15,USA,1,"Arena Stade Couvert, Liévin (FRA) (i)",2020-02-19,1244.0,60-metres,sprints,male,senior,60-metres,track,6.44,FRA,26.0,2020
36,6.45,,Christian COLEMAN,1996-03-06,USA,1,"College Station, TX (USA) (i)",2017-03-11,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,USA,21.0,2017
36,6.45,,Ackeem BLAKE,2002-01-21,JAM,2,"The Track at New Balance, Boston, MA (USA) (i)",2024-02-04,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,USA,22.0,2024
36,6.45,0.9,Yohan BLAKE,1989-12-26,JAM,4,"National Stadium, Kingston (JAM)",2023-02-25,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,JAM,33.0,2023
36,6.45,,Lamont Marcell JACOBS,1994-09-26,ITA,1sf2,"Štark Arena, Beograd (SRB) (i)",2022-03-19,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,SRB,27.0,2022
36,6.45,,Christian COLEMAN,1996-03-06,USA,1,"The Podium, Spokane, WA (USA) (i)",2022-02-27,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,USA,25.0,2022
36,6.45,,Terrence JONES,2002-11-08,BAH,1,"Sports Performance Center, Lubbock, TX (USA) (i)",2022-01-15,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,USA,19.0,2022
36,6.45,,Christian COLEMAN,1996-03-06,USA,1sf2,"Arena Birmingham, Birmingham (GBR) (i)",2018-03-03,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,GBR,22.0,2018
36,6.45,,Ronnie BAKER,1993-10-15,USA,1sf1,"Albuquerque, NM (USA) (i)",2018-02-18,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,USA,24.0,2018
36,6.45,,Ronnie BAKER,1993-10-15,USA,1,"Albuquerque, NM (USA) (i)",2017-03-05,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,USA,23.0,2017
36,6.45,,Andre CASON,1969-01-20,USA,1,Gent (BEL) (i),1992-01-29,1239.0,60-metres,sprints,male,senior,60-metres,track,6.45,BEL,23.0,1992
