Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
1,7291,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Olympic Stadium, Seoul (KOR)",1988-09-24,1331.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7291.0,KOR,26.0,1988
2,7215,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Indianapolis, IN (USA)",1988-07-16,1315.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7215.0,USA,26.0,1988
3,7158,,Jackie JOYNER,1962-03-03,USA,1,"Houston, TX (USA)",1986-08-02,1304.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7158.0,USA,24.0,1986
4,7148,,Jackie JOYNER,1962-03-03,USA,1,Moskva (URS),1986-07-07,1302.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7148.0,URS,24.0,1986
5,7128,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Stadio Olimpico, Roma (ITA)",1987-09-01,1298.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7128.0,ITA,25.0,1987
6,7044,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Estadio Olímpico, Barcelona (ESP)",1992-08-02,1281.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7044.0,ESP,30.0,1992
7,7032,,Carolina KLÜFT,1983-02-02,SWE,1,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-26,1279.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7032.0,JPN,24.0,2007
8,7013,,Nafissatou THIAM,1994-08-19,BEL,1,"Mösle-Stadium, Götzis (AUT)",2017-05-28,1275.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7013.0,AUT,22.0,2017
9,7007,,Larisa NIKITINA,1965-04-29,URS,1,Bryansk (URS),1989-06-11,1274.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7007.0,URS,24.0,1989
10,7001,,Carolina KLÜFT,1983-02-02,SWE,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1273.0,heptathlon,combined-events,female,senior,heptathlon,mixed,7001.0,FRA,20.0,2003
11,6988,,Anna HALL,2001-03-23,USA,1,"Mösle-Stadium, Götzis (AUT)",2023-05-28,1270.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6988.0,AUT,22.0,2023
12,6985,,Sabine BRAUN,1965-06-19,GER,1,Götzis (AUT),1992-05-31,1270.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6985.0,AUT,26.0,1992
13,6981,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,1,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1269.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6981.0,QAT,26.0,2019
14,6979,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,San José (USA),1987-06-24,1268.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6979.0,USA,25.0,1987
15,6955,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Olympic Stadium, London (GBR)",2012-08-04,1264.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6955.0,GBR,26.0,2012
16,6952,,Carolina KLÜFT,1983-02-02,SWE,1,"Olympic Stadium, Athina (GRE)",2004-08-21,1263.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6952.0,GRE,21.0,2004
