rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,47.60,,Marita KOCH,18 FEB 1957,GDR,1,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1304,400-metres,sprints,female,senior
2,47.99,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1288,400-metres,sprints,female,senior
3,48.14,,Salwa Eid NASER,23 MAY 1998,BRN,1,"Khalifa International Stadium, Doha (QAT)",03 OCT 2019,1281,400-metres,sprints,female,senior
4,48.16,,Marita KOCH,18 FEB 1957,GDR,1,"Olympic Stadium, Athina (GRE)",08 SEP 1982,1281,400-metres,sprints,female,senior
4,48.16,,Marita KOCH,18 FEB 1957,GDR,1,Praha (TCH),16 AUG 1984,1281,400-metres,sprints,female,senior
6,48.17,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Stade de France, Paris (FRA)",09 AUG 2024,1280,400-metres,sprints,female,senior
7,48.22,,Marita KOCH,18 FEB 1957,GDR,1,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1278,400-metres,sprints,female,senior
8,48.25,,Marie-José PÉREC,09 MAY 1968,FRA,1,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1277,400-metres,sprints,female,senior
9,48.26,,Marita KOCH,18 FEB 1957,GDR,1,Dresden (GER),27 JUL 1984,1276,400-metres,sprints,female,senior
10,48.27,,Olga BRYZGINA,30 JUN 1963,URS,2,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1276,400-metres,sprints,female,senior
11,48.36,,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1272,400-metres,sprints,female,senior
12,48.37,,Shaunae MILLER-UIBO,15 APR 1994,BAH,2,"Khalifa International Stadium, Doha (QAT)",03 OCT 2019,1272,400-metres,sprints,female,senior
13,48.45,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Praha (TCH),23 JUL 1983,1269,400-metres,sprints,female,senior
14,48.53,,Salwa Eid NASER,23 MAY 1998,BRN,2,"Stade de France, Paris (FRA)",09 AUG 2024,1265,400-metres,sprints,female,senior
15,48.57,,Nickisha PRYCE,07 MAR 2001,JAM,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1264,400-metres,sprints,female,senior
16,48.59,,Taťána KOCEMBOVÁ,02 MAY 1962,TCH,2,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1263,400-metres,sprints,female,senior
17,48.60,,Marita KOCH,18 FEB 1957,GDR,1,Torino (ITA),04 AUG 1979,1262,400-metres,sprints,female,senior
17,48.60,,Olga BRYZGINA,30 JUN 1963,URS,1,Moskva (URS),17 AUG 1985,1262,400-metres,sprints,female,senior
19,48.61,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,"Stadio Olimpico, Roma (ITA)",06 SEP 1981,1262,400-metres,sprints,female,senior
20,48.63,,Cathy FREEMAN,16 FEB 1973,AUS,2,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1261,400-metres,sprints,female,senior
21,48.65,,Olga BRYZGINA,30 JUN 1963,URS,1,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,1260,400-metres,sprints,female,senior
22,48.66,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1260,400-metres,sprints,female,senior
23,48.67,,Salwa Eid NASER,23 MAY 1998,BRN,1f1,"National Stadium, Kingston (JAM)",05 APR 2025,1260,400-metres,sprints,female,senior
24,48.70,,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1258,400-metres,sprints,female,senior
25,48.73,,Taťána KOCEMBOVÁ,02 MAY 1962,TCH,2,Praha (TCH),16 AUG 1984,1257,400-metres,sprints,female,senior
26,48.74,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1257,400-metres,sprints,female,senior
27,48.75,,Sydney MCLAUGHLIN-LEVRONE,07 AUG 1999,USA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1256,400-metres,sprints,female,senior
28,48.76,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1256,400-metres,sprints,female,senior
29,48.77,,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),09 JUL 1982,1255,400-metres,sprints,female,senior
30,48.82,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Praha (TCH),23 JUN 1983,1253,400-metres,sprints,female,senior
31,48.83,,Valerie BRISCO-HOOKS,06 JUL 1960,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",06 AUG 1984,1253,400-metres,sprints,female,senior
31,48.83,,Marie-José PÉREC,09 MAY 1968,FRA,1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1253,400-metres,sprints,female,senior
31,48.83,,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1253,400-metres,sprints,female,senior
34,48.85,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,2,"Olympic Stadium, Athina (GRE)",08 SEP 1982,1252,400-metres,sprints,female,senior
35,48.86,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Zürich (SUI),18 AUG 1982,1252,400-metres,sprints,female,senior
35,48.86,,Marita KOCH,18 FEB 1957,GDR,1,Erfurt (GER),02 JUN 1984,1252,400-metres,sprints,female,senior
37,48.87,,Marita KOCH,18 FEB 1957,GDR,1,Bruxelles (BEL),27 AUG 1982,1251,400-metres,sprints,female,senior
38,48.88,,Marita KOCH,18 FEB 1957,GDR,1,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1251,400-metres,sprints,female,senior
39,48.89,,Marita KOCH,18 FEB 1957,GDR,1,Potsdam (GDR),29 JUL 1979,1251,400-metres,sprints,female,senior
39,48.89,,Marita KOCH,18 FEB 1957,GDR,1,Berlin (GER),15 JUL 1984,1251,400-metres,sprints,female,senior
39,48.89,,Ana Gabriela GUEVARA,04 MAR 1977,MEX,1,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1251,400-metres,sprints,female,senior
39,48.89,,Nickisha PRYCE,07 MAR 2001,JAM,1,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1251,400-metres,sprints,female,senior
43,48.90,,Natalia KACZMAREK,17 JAN 1998,POL,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1250,400-metres,sprints,female,senior
44,48.92,,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,Zürich (SUI),19 AUG 2005,1249,400-metres,sprints,female,senior
45,48.94,,Marita KOCH,18 FEB 1957,GDR,1,"Stadion Evžena Rošického, Praha (TCH)",31 AUG 1978,1248,400-metres,sprints,female,senior
45,48.94,,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,1248,400-metres,sprints,female,senior
45,48.94,,Salwa Eid NASER,23 MAY 1998,BRN,1,"Estadio Luguelín Santos, Bayaguana (DOM)",29 MAR 2025,1248,400-metres,sprints,female,senior
48,48.96,,Olga BRYZGINA,30 JUN 1963,URS,1,Leningrad (URS),03 AUG 1985,1248,400-metres,sprints,female,senior
49,48.97,,Marita KOCH,18 FEB 1957,GDR,1,"Olympic Stadium, Montréal (CAN)",26 AUG 1979,1247,400-metres,sprints,female,senior
49,48.97,,Marita KOCH,18 FEB 1957,GDR,1,Berlin (GDR),22 SEP 1985,1247,400-metres,sprints,female,senior
49,48.97,,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1247,400-metres,sprints,female,senior
52,48.98,,Olga BRYZGINA,30 JUN 1963,URS,1,Kiev (URS),22 JUN 1984,1247,400-metres,sprints,female,senior
52,48.98,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1247,400-metres,sprints,female,senior
52,48.98,,Natalia KACZMAREK,17 JAN 1998,POL,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1247,400-metres,sprints,female,senior
52,48.98,,Natalia KACZMAREK,17 JAN 1998,POL,3,"Stade de France, Paris (FRA)",09 AUG 2024,1247,400-metres,sprints,female,senior
