rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,6.51,,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,3,"Atlantic Pavillion, Lisboa (POR) (i)",11 MAR 2001,1204,60-metres,sprints,male,u20
1,6.51,,Okon Israel SUNDAY,11 NOV 2006,NGR,1h5,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",28 FEB 2025,1204,60-metres,sprints,male,u20
3,6.52,,D'Angelo CHERRY,01 AUG 1990,USA,2,"Boston, MA (USA) (i)",01 MAR 2009,1198,60-metres,sprints,male,u20
3,6.52,,Okon Israel SUNDAY,11 NOV 2006,NGR,1sf2,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",14 FEB 2025,1198,60-metres,sprints,male,u20
3,6.52,,Okon Israel SUNDAY,11 NOV 2006,NGR,3,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",15 MAR 2025,1198,60-metres,sprints,male,u20
6,6.53,,Sven MATTHES,23 AUG 1969,GDR,1er,Wien (AUT) (i),13 FEB 1988,1192,60-metres,sprints,male,u20
7,6.54,,Jordan ANTHONY,29 JUN 2004,USA,2h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1187,60-metres,sprints,male,u20
7,6.54,,Ajani DWYER,18 MAY 2006,USA,1h1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",23 FEB 2025,1187,60-metres,sprints,male,u20
7,6.54,,Okon Israel SUNDAY,11 NOV 2006,NGR,1h1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",14 MAR 2025,1187,60-metres,sprints,male,u20
10,6.55,,Jordan ANTHONY,29 JUN 2004,USA,2,"Convention Center, Albuquerque, NM (USA) (i)",11 MAR 2023,1181,60-metres,sprints,male,u20
10,6.55,,Okon Israel SUNDAY,11 NOV 2006,NGR,2,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",01 MAR 2025,1181,60-metres,sprints,male,u20
12,6.56,,Leonard SCOTT,19 JAN 1980,USA,1,"Johnson City, TN (USA) (i)",30 JAN 1999,1175,60-metres,sprints,male,u20
12,6.56,,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,2sf1,"Atlantic Pavillion, Lisboa (POR) (i)",11 MAR 2001,1175,60-metres,sprints,male,u20
14,6.57,,Casey COMBEST,15 SEP 1980,USA,1,"Columbus, OH (USA) (i)",14 MAR 1999,1170,60-metres,sprints,male,u20
14,6.57,,D'Angelo CHERRY,01 AUG 1990,USA,1h1,"Boston, MA (USA) (i)",01 MAR 2009,1170,60-metres,sprints,male,u20
14,6.57,,Jordan ANTHONY,29 JUN 2004,USA,2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",25 FEB 2023,1170,60-metres,sprints,male,u20
14,6.57,,Issamade ASINGA,29 DEC 2004,USA,1h8,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1170,60-metres,sprints,male,u20
14,6.57,,Joshua CALEB,14 JUL 2006,NGR,1,"Sparks Convention Center Halls, Reno, NV (USA) (i)",10 JAN 2025,1170,60-metres,sprints,male,u20
14,6.57,,Ajani DWYER,18 MAY 2006,USA,1,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",25 JAN 2025,1170,60-metres,sprints,male,u20
14,6.57,+1.3,Gary CARD,04 JUN 2007,JAM,1f2,"National Stadium, Kingston (JAM)",22 FEB 2025,1170,60-metres,sprints,male,u20
21,6.58,,Ibrahim MEITÉ,18 NOV 1976,CIV,3,Liévin (FRA) (i),13 FEB 1994,1164,60-metres,sprints,male,u20
21,6.58,,Leonard SCOTT,19 JAN 1980,USA,1,"Indianapolis, IN (USA) (i)",06 MAR 1999,1164,60-metres,sprints,male,u20
21,6.58,,Tim GOEBEL,04 MAR 1982,GER,1,Dortmund (GER) (i),25 FEB 2001,1164,60-metres,sprints,male,u20
